outcome,focal_variable,auxiliary_variable,covariate_a
0.8491,0.7926,1,0.2975
-0.2165,-0.0251,0,0.6962
-1.2704,-0.5138,0,0.5027
0.0283,0.3622,1,-0.3397
-0.0796,0.1856,1,0.8545
0.5375,0.231,0,-0.3838
0.9679,0.7953,0,-0.3889
0.0232,0.5167,1,-0.025
-1.2597,-0.5618,1,0.5292
1.8556,1.6056,1,-0.9711
0.5396,1.4446,0,-0.8593
-1.3319,0.1863,1,-1.7017
-0.5428,-0.2216,1,-0.2537
0.5714,1.1256,1,1.0826
-0.6031,-0.1586,0,3.2424
1.2144,1.649,1,0.2734
-0.5452,-0.4859,0,1.6723
0.2085,0.1697,0,0.0635
-0.265,0.592,1,0.1363
-0.3186,0.5109,1,-0.0951
0.3263,0.4894,1,-0.0141
1.0647,1.325,1,-0.0085
-0.4789,-0.2681,0,-0.2963
0.4291,0.5127,1,1.8025
0.3561,0.7962,1,0.5814
0.9882,1.5009,1,-0.682
-0.9369,-0.5222,0,0.6704
-0.4085,-0.1485,0,1.0285
0.1197,0.4451,0,-1.2014
0.166,0.254,1,1.0683
-0.1091,0.1682,0,0.9341
-1.619,-0.7139,0,0.4061
-0.142,0.036,1,1.6149
0.3805,0.4112,0,1.0392
1.4273,0.881,0,-0.3729
0.2877,0.7281,1,0.1793
-0.5428,-0.2847,0,1.4554
0.1644,0.1956,1,-0.4227
0.2647,0.7914,1,-0.3459
-0.1303,0.355,1,0.3373
0.2735,-0.1216,0,-0.1659
0.5536,0.7126,1,2.5311
1.3741,1.4062,1,1.4221
0.384,0.0794,0,2.2465
0.5309,0.8274,0,1.2842
-1.5621,-0.4662,0,0.2709
0.3831,0.9766,1,-1.9325
0.6923,1.018,1,0.4072
0.0498,0.5205,1,-1.0696
0.0228,1.0821,1,-1.5164
-0.2919,-0.2043,0,1.2256
1.6299,1.441,1,-1.0581
-1.1551,-0.8425,0,-0.675
0.4744,0.2105,0,-0.4395
-0.1011,0.3318,0,0.182
-0.5455,0.6456,1,-0.0256
0.588,0.6951,1,0.7842
-0.1,0.1153,0,0.6139
-0.6632,-0.1428,1,-1.5373
1.1129,1.066,0,1.5696
0.4677,0.8319,1,-1.1129
-0.5596,0.0032,0,-0.9803
1.6821,1.246,1,1.7876
0.3475,0.4701,0,-0.054
0.3607,0.3259,1,1.1525
0.6253,0.3404,0,0.7352
0.1505,0.6247,0,0.468
1.0663,1.1562,1,-0.6932
0.73,0.3043,0,-0.191
-1.0319,-0.8226,0,1.6858
-0.3645,-0.0234,0,-0.6834
-0.1809,-0.3547,0,0.0746
0.9712,1.5541,1,0.5214
-1.3178,-0.5732,1,-0.3913
0.4259,0.4451,0,-0.6894
1.2235,0.5499,0,-0.1767
-0.7985,-0.9172,0,-0.1981
-0.3436,0.0889,0,-1.4993
0.9984,1.1521,0,0.2774
-0.3046,0.0388,0,1.3298
0.1616,0.7672,1,-3.3472
-0.6125,-0.2697,0,0.184
-0.2475,-0.0477,0,-3.0018
-0.2857,-0.0828,0,1.4771
-0.7305,-0.313,1,-0.591
-0.8227,0.0596,1,0.0108
1.0568,0.7954,0,-1.0116
0.7065,0.7869,1,1.9762
-0.1256,0.7807,1,2.0836
-0.3591,0.1403,1,-1.1116
-0.3653,-0.3705,0,-1.2277
-0.2347,0.1696,1,0.8381
-0.3259,0.5283,1,0.8615
-1.0936,-0.6393,0,-0.3883
0.7376,0.6503,1,-1.0571
-1.3507,-0.9939,0,1.5018
0.2923,0.5473,1,-0.2704
-0.5002,0.05,0,-0.3285
0.499,-0.165,0,0.1187
0.4616,0.7752,1,-1.4825
0.3074,0.1593,1,-0.6337
-0.3495,0.2597,1,-1.0135
0.7914,0.9197,1,-1.9907
-0.9951,-0.4929,1,-0.8675
-0.0682,0.6578,1,-0.0639
-0.4929,-0.2791,0,-0.8086
-0.4176,-0.0217,0,-0.1541
0.4743,0.6778,1,-1.0809
-1.053,-0.8673,0,0.5967
-0.0713,-0.0723,1,0.9723
-0.5968,-0.7682,0,0.6475
-1.1994,-0.8969,0,0.1441
-0.8338,-0.4134,0,0.8054
1.1566,1.2613,0,-0.6293
0.016,0.2415,0,-0.8068
0.1501,0.355,1,-0.0844
