entity_id,wave,group_indicator,phase_indicator,group_phase_interaction,outcome
0,1,1,0,0,1.0823
1,1,1,0,0,1.2563
2,1,1,0,0,0.3561
3,1,1,0,0,0.6529
4,1,1,0,0,0.5357
5,1,1,0,0,0.3423
6,1,1,0,0,-0.062
7,1,1,0,0,0.5498
8,1,1,0,0,0.2662
9,1,1,0,0,0.8395
10,1,1,0,0,1.1017
11,1,1,0,0,0.6093
12,1,1,0,0,0.0663
13,1,1,0,0,1.3585
14,1,1,0,0,1.2167
15,1,1,0,0,-0.1493
16,1,1,0,0,0.6408
17,1,1,0,0,0.7465
18,1,1,0,0,0.435
19,1,1,0,0,0.3258
20,1,1,0,0,1.7969
21,1,1,0,0,0.216
22,1,1,0,0,0.7115
23,1,1,0,0,-0.1866
24,1,1,0,0,0.5207
25,1,1,0,0,0.8035
26,1,1,0,0,0.4556
27,1,1,0,0,-1.226
28,1,1,0,0,1.0715
29,1,1,0,0,1.9535
30,1,1,0,0,-0.7506
31,1,1,0,0,1.2024
32,1,1,0,0,-0.9347
33,1,1,0,0,1.1808
34,1,1,0,0,0.215
35,1,1,0,0,-0.6424
36,1,1,0,0,0.5017
37,1,1,0,0,0.9375
38,1,1,0,0,0.7425
39,1,1,0,0,0.879
40,1,1,0,0,0.3336
41,1,1,0,0,-0.6435
42,1,1,0,0,0.9951
43,1,1,0,0,1.184
44,1,1,0,0,1.3004
45,1,1,0,0,-0.5075
46,1,1,0,0,-0.5866
47,1,1,0,0,0.1514
48,1,1,0,0,0.2516
49,1,1,0,0,0.566
50,1,1,0,0,0.5975
51,1,1,0,0,-0.3332
52,1,1,0,0,1.3382
53,1,1,0,0,0.4316
54,1,1,0,0,0.0631
55,1,1,0,0,0.602
56,1,1,0,0,-0.8367
57,1,1,0,0,0.7495
58,1,1,0,0,0.6902
59,1,1,0,0,0.8373
60,1,1,0,0,0.819
61,1,1,0,0,0.5494
62,1,1,0,0,0.0753
63,1,1,0,0,0.5725
64,1,1,0,0,0.6082
65,1,1,0,0,0.6076
66,1,1,0,0,0.8691
67,1,1,0,0,0.8686
68,1,1,0,0,0.3528
69,1,1,0,0,0.9865
70,1,1,0,0,0.1888
71,1,1,0,0,0.511
72,1,1,0,0,0.6534
73,1,1,0,0,0.2625
74,1,1,0,0,0.4495
75,1,1,0,0,-0.0216
76,1,1,0,0,-0.4228
77,1,1,0,0,0.8438
78,1,1,0,0,0.8586
79,1,1,0,0,0.5442
80,1,1,0,0,0.4886
81,1,1,0,0,1.0983
82,1,1,0,0,0.3531
83,1,1,0,0,0.575
84,1,1,0,0,0.3448
85,1,1,0,0,0.0452
86,1,1,0,0,1.6857
87,1,1,0,0,0.8373
88,1,1,0,0,0.4445
89,1,1,0,0,-0.0751
90,1,1,0,0,1.1482
91,1,1,0,0,-0.3471
92,1,1,0,0,0.3302
93,1,1,0,0,0.9115
94,1,1,0,0,0.9987
95,1,1,0,0,1.4862
96,1,1,0,0,0.4193
97,1,1,0,0,0.5182
98,1,1,0,0,0.4723
99,1,1,0,0,-0.4694
100,1,0,0,0,-0.2593
101,1,0,0,0,-0.2098
102,1,0,0,0,-0.0877
103,1,0,0,0,-0.2146
104,1,0,0,0,-0.3757
105,1,0,0,0,-0.1929
106,1,0,0,0,0.2511
107,1,0,0,0,-0.1953
108,1,0,0,0,0.118
109,1,0,0,0,-0.1911
110,1,0,0,0,0.4676
111,1,0,0,0,-1.2491
112,1,0,0,0,-0.3092
113,1,0,0,0,0.8421
114,1,0,0,0,-0.7255
115,1,0,0,0,-0.2175
116,1,0,0,0,0.0193
117,1,0,0,0,0.2426
118,1,0,0,0,0.6582
119,1,0,0,0,-0.1073
120,1,0,0,0,0.2644
121,1,0,0,0,0.511
122,1,0,0,0,-0.2351
123,1,0,0,0,1.5266
124,1,0,0,0,0.0124
125,1,0,0,0,-0.3449
126,1,0,0,0,-0.5476
127,1,0,0,0,-0.1523
128,1,0,0,0,0.3906
129,1,0,0,0,-0.5454
130,1,0,0,0,-1.0787
131,1,0,0,0,0.196
132,1,0,0,0,0.5353
133,1,0,0,0,0.0669
