entity_id,wave,group_indicator,phase_indicator,group_phase_interaction,outcome
0,1,1,0,0,-0.1723
1,1,1,0,0,0.0626
2,1,1,0,0,-1.2274
3,1,1,0,0,1.4271
4,1,1,0,0,-0.2988
5,1,1,0,0,0.7136
6,1,1,0,0,1.9228
7,1,1,0,0,-0.1043
8,1,1,0,0,0.6134
9,1,1,0,0,0.0386
10,1,1,0,0,0.9313
11,1,1,0,0,-0.3407
12,1,1,0,0,0.4572
13,1,1,0,0,1.5708
14,1,1,0,0,0.4583
15,1,1,0,0,-0.3046
16,1,1,0,0,1.1916
17,1,1,0,0,-0.7676
18,1,1,0,0,0.4637
19,1,1,0,0,1.0466
20,1,1,0,0,0.842
21,1,1,0,0,2.7143
22,1,1,0,0,1.1007
23,1,1,0,0,0.5843
24,1,1,0,0,1.3325
25,1,1,0,0,0.4132
26,1,1,0,0,0.468
27,1,1,0,0,1.5019
28,1,1,0,0,0.4531
29,1,1,0,0,0.8022
30,1,1,0,0,0.4143
31,1,1,0,0,-1.228
32,1,1,0,0,1.1041
33,1,1,0,0,-0.1995
34,1,1,0,0,0.7246
35,1,1,0,0,-0.143
36,1,1,0,0,0.0175
37,1,1,0,0,-0.3206
38,1,1,0,0,0.6759
39,1,1,0,0,1.5983
40,1,1,0,0,-0.0105
41,1,1,0,0,-0.094
42,1,1,0,0,-1.0798
43,1,1,0,0,0.7929
44,1,1,0,0,0.087
45,1,1,0,0,0.0884
46,1,1,0,0,0.0522
47,1,1,0,0,0.0989
48,1,1,0,0,-1.0874
49,1,1,0,0,-0.6481
50,1,0,0,0,0.2571
51,1,0,0,0,-0.2289
52,1,0,0,0,-0.2784
53,1,0,0,0,0.2677
54,1,0,0,0,0.4415
55,1,0,0,0,-0.9474
56,1,0,0,0,0.1831
57,1,0,0,0,0.6349
58,1,0,0,0,-0.4685
59,1,0,0,0,0.4611
60,1,0,0,0,-1.1967
61,1,0,0,0,-0.8006
62,1,0,0,0,-1.0114
63,1,0,0,0,-0.1925
64,1,0,0,0,0.1952
65,1,0,0,0,0.5761
66,1,0,0,0,0.2281
67,1,0,0,0,-0.7231
68,1,0,0,0,-0.5496
69,1,0,0,0,-1.1579
70,1,0,0,0,-0.3919
71,1,0,0,0,1.0266
72,1,0,0,0,-0.5065
73,1,0,0,0,0.8827
74,1,0,0,0,-0.9742
75,1,0,0,0,0.4357
76,1,0,0,0,0.3322
77,1,0,0,0,1.5346
78,1,0,0,0,0.1201
79,1,0,0,0,-0.9647
80,1,0,0,0,0.6502
81,1,0,0,0,1.6288
82,1,0,0,0,-0.298
83,1,0,0,0,-0.1525
84,1,0,0,0,0.4667
85,1,0,0,0,1.2708
86,1,0,0,0,0.4542
87,1,0,0,0,-1.0784
88,1,0,0,0,0.4118
89,1,0,0,0,0.4291
90,1,0,0,0,-0.8125
91,1,0,0,0,1.1394
92,1,0,0,0,0.7624
93,1,0,0,0,0.9437
94,1,0,0,0,-0.0775
95,1,0,0,0,0.6174
96,1,0,0,0,0.0149
97,1,0,0,0,0.155
98,1,0,0,0,0.5356
99,1,0,0,0,-1.2103
0,2,1,0,0,-0.7078
