assignment_score,status_flag,outcome,proximity_flag
0.6295,1,0.2903,1
0.3754,0,0.0464,1
0.1197,0,-0.1766,0
0.6198,1,0.5056,1
0.68,1,0.4296,1
0.1236,0,0.1587,0
0.5995,1,0.4183,1
0.844,1,0.4887,0
0.5415,1,0.4032,1
0.7966,1,0.5144,1
0.4924,0,0.1511,1
0.2323,0,0.1334,1
0.1544,0,0.2605,0
0.2303,0,0.2153,1
0.6415,1,0.7058,1
0.2918,0,-0.0878,1
0.5468,1,0.3006,1
0.8037,1,0.6575,0
0.0987,0,-0.1221,0
0.1173,0,0.2782,0
0.7365,1,0.3944,1
0.0301,0,-0.0127,0
0.2069,0,0.0063,1
0.432,0,0.1314,1
0.9674,1,0.7889,0
0.524,1,0.6049,1
0.1425,0,0.3364,0
0.5836,1,0.7673,1
0.3764,0,0.0442,1
0.0582,0,-0.1343,0
0.5039,1,0.4258,1
0.6358,1,0.4896,1
0.9604,1,0.3172,0
0.7255,1,0.5868,1
0.7806,1,0.328,1
0.9119,1,0.4622,0
0.3235,0,0.2086,1
0.5655,1,0.4908,1
0.9713,1,0.5526,0
0.5529,1,0.4522,1
0.1306,0,0.1377,0
0.9582,1,0.4471,0
0.3528,0,0.1551,1
0.2521,0,0.075,1
0.6305,1,0.4599,1
0.3525,0,0.2794,1
0.4113,0,0.1665,1
0.2157,0,0.2783,1
0.0378,0,-0.0629,0
0.0729,0,0.008,0
0.277,0,-0.1451,1
0.4228,0,-0.0175,1
0.8266,1,0.4419,0
0.2143,0,0.1354,1
0.6544,1,0.3713,1
0.926,1,0.3643,0
0.4064,0,0.1736,1
0.9789,1,0.2937,0
0.6375,1,0.1968,1
0.957,1,0.4142,0
0.295,0,0.1478,1
0.655,1,0.3158,1
0.1588,0,0.0622,0
0.9134,1,0.6365,0
0.3377,0,0.172,1
0.1586,0,0.3069,0
0.5293,1,0.4334,1
0.1673,0,0.2639,0
0.2801,0,0.1777,1
0.3816,0,0.0557,1
0.1469,0,-0.1,0
0.0403,0,0.0364,0
0.3749,0,-0.0823,1
0.2073,0,0.0297,1
0.6714,1,0.4295,1
0.0002,0,0.1771,0
0.6477,1,0.3378,1
0.5434,1,0.4793,1
0.5233,1,0.2612,1
0.5077,1,0.5324,1
0.5422,1,0.6398,1
0.5066,1,0.2775,1
0.4464,0,0.1555,1
0.3398,0,0.4905,1
0.3631,0,-0.0019,1
0.097,0,-0.189,0
0.3943,0,0.1522,1
0.4904,0,-0.0127,1
0.7633,1,0.535,1
0.4382,0,0.2621,1
0.7699,1,0.3274,1
0.7793,1,0.2631,1
0.3268,0,0.2518,1
0.4961,0,0.4089,1
0.3259,0,0.0521,1
0.0724,0,0.2294,0
0.8548,1,0.7713,0
0.8205,1,0.6031,0
0.0848,0,0.0464,0
0.6546,1,0.5482,1
0.8452,1,0.6341,0
0.04,0,-0.3247,0
0.3906,0,0.0996,1
0.2441,0,-0.1231,1
0.4751,0,0.007,1
0.1539,0,0.0943,0
0.0339,0,-0.0042,0
0.021,0,0.0113,0
0.9487,1,0.5151,0
0.0671,0,-0.0079,0
0.2181,0,0.0635,1
0.626,1,0.6722,1
0.6385,1,0.5387,1
0.0959,0,-0.1117,0
0.5455,1,0.3474,1
0.4586,0,0.2404,1
0.2237,0,0.0268,1
0.8053,1,0.5686,0
0.9656,1,0.5364,0
0.2945,0,0.12,1
0.206,0,0.2531,1
0.3641,0,0.1695,1
0.883,1,0.8052,0
0.7659,1,0.3806,1
0.7512,1,0.338,1
0.9029,1,0.5806,0
0.2323,0,0.0374,1
0.8636,1,0.5291,0
0.9173,1,0.579,0
0.6963,1,0.2653,1
0.4068,0,-0.2048,1
0.9079,1,0.6305,0
0.0357,0,-0.2044,0
0.2839,0,0.0087,1
0.0959,0,0.0027,0
0.3836,0,0.1026,1
0.7411,1,0.5897,1
0.4016,0,0.2204,1
0.5585,1,0.4533,1
0.4133,0,0.2093,1
0.033,0,-0.1443,0
0.0636,0,-0.0934,0
0.0449,0,0.553,0
0.8097,1,0.5158,0
0.0833,0,0.157,0
0.3323,0,-0.0726,1
0.5564,1,0.5271,1
0.5355,1,0.3726,1
0.6153,1,0.3548,1
0.5257,1,0.6715,1
0.4932,0,0.3792,1
0.6702,1,0.4469,1
0.2919,0,0.1246,1
0.4563,0,0.0802,1
0.4319,0,-0.0415,1
0.3547,0,0.1206,1
0.9968,1,0.5863,0
0.903,1,0.6788,0
0.6753,1,0.5423,1
0.7397,1,0.3243,1
0.8726,1,0.2059,0
0.3587,0,0.061,1
0.5297,1,0.2175,1
0.3538,0,0.0918,1
0.892,1,0.5862,0
0.6077,1,0.4831,1
0.5613,1,0.353,1
0.4514,0,0.1989,1
0.5725,1,0.634,1
0.29,0,0.15,1
0.5146,1,0.4623,1
0.2061,0,-0.0161,1
0.2416,0,0.1004,1
0.1808,0,0.2867,0
0.196,0,0.0536,0
0.4772,0,0.099,1
0.0587,0,0.2046,0
0.3316,0,0.0802,1
0.4792,0,0.2387,1
0.1495,0,0.0827,0
0.3555,0,0.1909,1
0.5457,1,0.5459,1
0.9057,1,0.7199,0
0.3226,0,0.2629,1
0.0051,0,0.2273,0
0.6744,1,0.422,1
0.9589,1,0.3643,0
0.9885,1,0.5303,0
0.463,0,0.5777,1
0.176,0,0.0463,0
0.6738,1,0.1802,1
0.8074,1,0.8995,0
0.5564,1,0.4552,1
0.3515,0,-0.011,1
0.3338,0,-0.066,1
0.4415,0,0.1637,1
0.204,0,0.1842,1
0.4249,0,0.2393,1
0.8233,1,0.6425,0
0.5552,1,0.203,1
0.2552,0,-0.0896,1
0.6999,1,0.4687,1
0.3496,0,0.2853,1
0.1872,0,0.0015,0
0.05,0,-0.3183,0
0.8667,1,0.6476,0
0.5622,1,0.0129,1
0.0298,0,-0.0562,0
0.4946,0,0.276,1
0.2851,0,0.2084,1
0.2612,0,-0.1606,1
0.924,1,0.6723,0
0.9568,1,0.7528,0
0.7389,1,0.5803,1
0.2482,0,0.0482,1
0.0991,0,0.11,0
0.0546,0,-0.0839,0
0.0483,0,0.1861,0
0.9727,1,0.7799,0
0.1745,0,-0.0014,0
0.7311,1,0.5966,1
0.3137,0,0.257,1
0.7647,1,0.4551,1
0.8164,1,0.1613,0
0.2631,0,0.1112,1
0.338,0,-0.3542,1
0.4952,0,0.4007,1
0.0518,0,0.1159,0
0.0241,0,-0.0215,0
0.8155,1,0.6468,0
0.456,0,-0.0308,1
0.4983,0,0.33,1
0.6075,1,0.4749,1
0.3289,0,0.144,1
0.7624,1,0.4233,1
0.0227,0,-0.0316,0
0.1274,0,0.1279,0
0.9279,1,0.3963,0
0.8763,1,0.3289,0
0.0766,0,0.1871,0
0.5542,1,0.4974,1
0.7332,1,0.3272,1
0.2572,0,0.0941,1
0.016,0,0.0124,0
0.6597,1,0.3405,1
0.7747,1,0.5156,1
0.7323,1,0.4656,1
0.1695,0,0.1866,0
0.5668,1,0.4831,1
0.2276,0,-0.0122,1
0.6145,1,0.3499,1
0.4821,0,0.2102,1
0.5701,1,0.1516,1
0.3147,0,-0.0745,1
0.527,1,0.3805,1
0.5154,1,0.3849,1
0.1717,0,0.2001,0
0.0191,0,-0.2064,0
0.6592,1,0.3808,1
0.2438,0,0.072,1
0.5309,1,0.3609,1
0.0179,0,-0.1066,0
0.2673,0,-0.0152,1
0.0405,0,0.05,0
0.2945,0,0.0475,1
0.73,1,0.4124,1
0.6272,1,0.2614,1
0.1645,0,0.3924,0
0.1213,0,0.0583,0
0.118,0,0.272,0
0.8495,1,0.4627,0
0.2847,0,0.1037,1
0.9953,1,0.6248,0
0.5548,1,0.3983,1
0.9988,1,0.5678,0
0.2407,0,0.1078,1
0.9489,1,0.5023,0
0.9227,1,0.5118,0
0.1708,0,0.2064,0
0.9861,1,0.4004,0
0.35,0,0.3667,1
0.1475,0,0.132,0
0.3647,0,0.0665,1
0.0816,0,0.1612,0
0.5974,1,0.5561,1
0.5997,1,0.4801,1
0.332,0,0.085,1
0.3141,0,-0.1485,1
0.0359,0,-0.0919,0
0.6658,1,0.4624,1
0.2506,0,0.1504,1
0.4733,0,0.1553,1
0.5063,1,0.4668,1
0.7876,1,0.4522,1
0.6332,1,0.539,1
0.9707,1,0.8691,0
0.6321,1,0.4676,1
0.3572,0,0.0914,1
0.8698,1,0.5131,0
0.5159,1,0.5299,1
0.1877,0,0.0538,0
0.5651,1,0.5423,1
0.1228,0,0.178,0
0.3453,0,0.3752,1
0.0305,0,0.0819,0
0.0783,0,0.0433,0
0.2185,0,0.122,1
0.622,1,0.4406,1
0.4932,0,0.1801,1
0.433,0,0.3407,1
0.5712,1,0.3555,1
0.1955,0,-0.1331,0
0.6823,1,0.4794,1
0.5442,1,0.4465,1
0.1395,0,0.195,0
0.5541,1,0.3977,1
0.1128,0,-0.0295,0
0.6743,1,0.3645,1
0.2259,0,-0.0222,1
0.0489,0,-0.1072,0
0.1875,0,-0.1201,0
0.4829,0,-0.1802,1
0.7116,1,0.5898,1
