outcome,focal_variable,auxiliary_variable,covariate_a
0.7072,1.0151,0,0.137
-0.1708,-0.2159,0,-2.3918
-0.5619,-0.1874,1,-2.6588
0.5931,0.4394,0,1.5934
-0.123,0.4458,1,0.0829
0.8845,0.5476,1,-0.1739
-0.7337,-0.4094,1,-2.2185
1.7981,1.7982,1,-0.1463
-0.4589,-0.5669,0,-1.0547
-1.3044,-0.7427,0,-0.3156
-0.5391,-0.1848,1,-0.7284
-0.5079,0.6252,1,-0.2896
0.7191,1.2431,1,0.1936
-0.1168,0.1911,1,0.3728
0.5509,0.0263,0,-0.0653
-0.3094,0.4308,1,0.1066
0.7946,1.2194,1,-1.7844
-1.345,-0.7668,0,-0.0839
0.2471,0.1348,0,0.2069
0.2793,0.3938,0,-0.0793
-0.9549,-0.1339,1,1.4859
1.3646,1.2943,1,-0.2643
-1.5746,-0.4036,1,-1.3243
0.6035,0.6404,0,-0.0005
1.1013,0.9456,0,-0.5743
-1.2198,-0.7164,0,-1.7249
0.4384,0.964,1,-0.3046
-0.0273,-0.3749,0,1.4758
-0.1418,0.585,1,-0.3689
-0.4061,0.1896,1,1.0833
0.1007,0.0577,0,0.7176
-1.0376,-0.4794,0,2.3669
-0.4765,-0.1893,0,0.4539
-0.2556,-0.6989,0,0.0764
0.4154,0.5786,1,0.0894
1.4164,1.7451,1,0.2785
1.3383,1.1857,0,-0.2599
0.4865,0.508,0,-0.5084
-0.1548,-0.1655,0,0.461
1.7516,1.3151,1,-0.6326
0.1861,0.1102,0,-1.8669
-0.2396,0.0515,0,-1.3103
1.493,0.8402,0,1.6469
0.3778,0.1608,0,-0.319
-1.4039,-0.5983,0,0.7683
1.2408,0.6002,0,-0.6978
0.7512,0.584,1,0.8893
-0.2112,0.0674,0,0.4023
-0.0444,-0.378,0,1.991
0.5133,0.5198,1,1.3166
-2.1678,-0.3475,1,0.7357
-0.8478,-0.0251,1,-0.5887
0.9762,0.434,0,-1.1758
-0.0487,-0.0188,0,-0.1403
0.719,0.6124,1,0.019
1.1008,0.5449,0,-0.4089
-1.7851,-1.522,0,0.7051
0.9498,1.0697,0,0.0775
-0.0094,0.6814,1,-0.0024
0.2248,0.3617,0,1.5241
1.8152,1.0076,0,0.1046
0.9345,0.506,0,-1.3553
0.562,0.5432,1,1.0239
-0.2444,-0.1757,0,0.2095
-0.1681,0.4142,1,-0.2725
0.0602,0.0376,1,-0.956
0.3655,-0.0464,0,1.2612
0.8351,1.4963,1,1.6903
0.0457,0.5102,1,-0.6724
-0.5327,-0.1623,0,0.2976
0.6301,1.2981,1,0.439
-1.4257,-0.2412,1,-1.7435
1.6155,1.1022,1,-0.0437
-0.4593,-0.4834,0,-1.7412
-0.3382,0.388,1,-0.0183
1.0552,0.7523,0,2.263
0.1356,0.4067,0,-1.4491
-0.0179,-0.0495,0,1.8763
0.8416,0.6753,0,1.7764
0.3393,0.5757,0,-0.0056
0.6623,0.9162,1,0.5152
-1.0997,-0.3368,1,-0.2834
0.2294,0.2735,0,-0.4472
0.2864,0.1826,0,0.2033
-0.2988,0.1372,0,-0.7747
-0.5018,0.0459,0,0.4731
0.6784,0.5994,0,0.0415
-0.9492,-0.1589,1,-1.0673
1.7499,0.5598,0,0.7095
0.0497,0.3194,1,0.7357
-0.4191,0.2393,1,1.123
-0.6029,-0.3855,0,-0.4797
0.1306,0.8405,1,1.0289
0.7824,1.081,0,2.1667
0.6911,0.9549,1,0.0297
0.798,0.4282,0,0.1187
0.3167,0.1166,0,0.6787
-0.1433,0.2036,0,-2.1657
1.4908,1.3041,1,-1.3661
-0.0499,-0.0342,0,-0.5507
-0.4586,-0.1798,0,-0.341
-0.2934,-0.4083,0,0.1122
0.7001,0.3013,0,0.2673
-0.8641,-0.4333,1,-1.373
0.1066,0.7947,1,1.1523
0.5127,1.22,1,0.3331
0.8134,1.0637,1,0.0598
-1.5904,-0.2634,1,0.4905
-1.8626,-1.3641,0,-0.6153
-0.6315,0.2782,1,-0.2385
0.2604,0.623,1,-1.0827
-1.2452,-0.5306,0,-2.204
-1.3706,-1.0544,0,-0.2364
0.5393,0.891,1,1.7246
-0.5289,0.1868,1,-0.5687
0.8012,0.832,1,-1.5567
-1.3467,-0.4189,0,0.5647
0.3014,-0.1257,0,-0.4787
1.6316,0.6424,0,0.4374
0.2089,0.1559,1,0.6608
-0.2958,0.0937,1,-0.5065
0.9794,0.8942,1,0.4148
0.9977,0.8667,0,-0.0355
-0.3781,-0.3272,0,-1.9679
0.3993,0.6804,1,-0.5246
0.2313,0.0822,0,-0.8298
0.5001,0.5373,0,-1.5082
-0.0606,0.7164,1,-0.8473
0.2516,0.6505,1,0.6712
0.1254,0.5034,1,0.014
1.1417,1.1792,0,-1.8557
1.2298,0.5513,0,-1.1109
0.0308,0.7064,1,0.0152
0.3662,0.7026,0,-0.003
0.3063,0.2465,1,-0.3204
-0.3898,-0.3315,1,0.7534
-0.8553,-0.4045,0,0.369
-0.2515,0.4264,1,-0.5714
0.8347,0.4096,0,-0.6753
-0.9369,-0.6777,0,-0.2015
-1.0801,0.1643,1,-2.0835
0.2371,-0.0862,0,0.2921
0.6276,0.5024,1,-1.2565
0.773,0.5705,0,1.2095
1.1444,0.7415,1,-1.712
0.7218,1.0026,0,0.3696
0.2211,0.5752,1,-1.9912
-0.9723,0.1802,0,-0.6456
0.8781,0.8896,0,0.3955
-0.4078,0.1094,1,0.9174
1.1566,1.2968,1,0.867
-0.0013,0.3929,1,0.6873
0.4556,1.3862,1,0.7982
-0.2395,-0.0518,0,0.8828
-0.6062,-0.4114,0,-0.566
0.678,0.8373,1,-0.3883
0.0274,0.3198,0,0.6696
-1.1612,-0.4416,1,1.0871
0.5759,0.9184,1,-0.1691
0.6078,0.3705,0,-0.5569
0.3683,0.8611,1,-0.5904
0.1352,-0.2663,0,-0.8528
0.4115,0.211,0,0.4442
0.6322,0.9897,1,1.1075
-0.4156,-0.3656,0,0.4592
-1.6151,-1.3241,0,-0.044
0.4747,0.289,1,1.892
-0.0591,0.0988,0,-0.0187
0.2474,0.2217,0,1.3694
-0.0365,0.9089,1,-1.0981
0.2116,0.6113,1,0.2087
-0.1991,-0.3065,0,-0.9893
-0.3354,-0.0161,1,-0.9272
0.0971,0.1138,0,-0.814
0.0604,0.258,0,0.0611
-0.0767,0.2746,0,-0.4641
-0.1918,0.4466,1,-2.0709
0.1895,-0.0124,0,-0.436
0.8916,1.1985,1,-0.6259
0.2968,0.0457,0,-1.749
0.8215,0.6988,1,0.4527
0.7578,0.9464,1,0.6652
0.8274,0.3044,0,0.6167
1.681,0.7695,0,1.7032
0.6166,0.327,0,-1.1221
1.2102,0.7399,1,-1.0974
-0.7627,-0.3007,1,-0.0344
1.0352,0.4956,1,-0.1191
0.4907,0.533,0,0.1336
-0.1036,0.3192,1,0.836
-1.0399,0.0595,1,-0.2558
-1.7296,-0.8805,0,1.0329
-0.6472,-0.1189,0,-0.7713
0.1991,-0.0979,0,-0.507
-0.3246,0.1118,1,-1.1111
0.5477,0.6451,1,-3.4115
-0.8973,-0.0278,1,-1.7502
-1.1625,0.0905,1,0.8949
1.9038,1.3745,0,1.1025
0.9821,0.621,1,-1.2791
0.9684,1.0758,1,0.9314
