outcome,focal_variable,auxiliary_variable,covariate_a
-0.5032,0.1284,0,0.4467
0.4038,0.7539,1,-0.9982
-0.0657,0.28,0,0.9988
-0.1121,0.386,1,0.3206
-0.4311,-1.0848,0,0.8359
-0.2135,0.1987,0,0.287
1.2975,0.7165,0,-0.1132
0.2083,0.5614,1,-0.0414
0.2801,1.5024,1,0.3471
-1.1446,0.0024,0,-0.0896
0.0092,-0.74,0,-1.412
-0.1872,0.0079,1,2.0187
0.4018,-0.1076,0,-0.8345
-0.1654,0.5874,0,-1.7977
-1.2781,0.2578,1,-0.4679
-0.142,0.2314,1,-1.0984
-0.5299,0.9542,1,2.9342
0.0393,0.8509,1,-0.1594
-0.4365,0.7626,1,0.9597
-0.0988,1.2308,1,0.1488
-1.008,-0.1462,1,-2.187
0.4522,1.4282,1,1.0436
-1.2378,0.0891,1,-1.1703
0.5129,1.1471,1,0.4789
0.221,1.3974,1,-1.4659
-1.4606,0.0785,0,0.2037
1.3988,1.1226,0,-0.1367
-0.2406,-0.0384,0,-0.2164
-0.7782,0.4018,1,-0.0232
0.4906,0.8428,1,-0.5902
0.0011,0.7555,1,-2.3307
-0.1897,-0.4146,0,0.754
-0.4516,-0.2482,0,1.1396
0.3988,-0.4296,0,0.3009
-0.6712,0.4444,1,-1.4803
0.3249,0.0389,0,-0.4267
-0.4318,0.3472,0,0.2261
-0.6348,-0.4519,0,-1.0254
-0.2841,-0.3094,0,0.592
-0.8753,-0.9993,0,0.9132
-0.3522,0.3512,1,-0.7287
0.1329,0.2816,1,1.207
-0.1468,1.4658,1,-0.5538
0.3145,0.9149,0,-0.1784
-0.3065,0.5238,1,-0.0164
-0.0487,-0.0683,0,1.1769
0.0986,-0.4303,0,-0.2171
0.3357,0.746,1,1.3502
0.1722,-0.2035,1,-0.8524
-0.8605,0.0252,0,2.3056
-0.6248,-0.0026,1,-1.3756
-0.0553,0.2065,0,0.5687
0.0451,-0.0477,0,-0.402
-0.4574,-0.2779,0,-2.3184
-0.1651,-0.1178,0,0.434
-0.0966,0.7838,1,0.6
-0.1342,0.6601,0,1.0271
-0.4127,-0.14,1,-0.4854
-0.0553,-0.6478,0,0.1273
1.0768,0.1166,0,0.7957
-0.2613,0.7641,1,-0.1847
-0.2147,0.7648,1,-0.5354
0.024,-0.728,0,0.181
-0.3469,-0.6166,1,1.581
-0.6808,-1.0532,0,-0.5367
-0.4911,0.0634,1,-0.2083
-0.2288,0.4376,0,-1.0018
-0.2167,-1.1347,0,0.1333
-0.353,-0.0036,1,1.0355
-0.5109,-0.4768,0,-1.5842
-0.7711,0.3958,1,-0.2672
0.4075,0.7417,0,1.0141
-0.3652,-0.738,0,-0.4874
