assignment_score,status_flag,outcome,proximity_flag
0.3956,0,-0.0385,1
0.2929,0,0.0537,1
0.2065,0,-0.0354,1
0.6279,1,0.549,1
0.7949,1,0.4356,1
0.4329,0,0.1826,1
0.0077,0,0.2467,0
0.5988,1,0.2874,1
0.8291,1,0.6543,0
0.6135,1,0.5698,1
0.8454,1,0.3174,0
0.0116,0,0.21,0
0.2235,0,-0.1174,1
0.6513,1,0.227,1
0.376,0,-0.0133,1
0.1975,0,-0.0614,0
0.9151,1,0.4726,0
0.4036,0,-0.0452,1
0.8442,1,0.5886,0
0.9657,1,0.5202,0
0.0271,0,0.0357,0
0.9479,1,0.6361,0
0.7203,1,0.6946,1
0.7768,1,0.418,1
0.1853,0,-0.0366,0
0.1765,0,0.173,0
0.4733,0,0.3302,1
0.1527,0,0.0578,0
0.717,1,0.4757,1
0.9027,1,0.4893,0
0.9513,1,0.4429,0
0.3033,0,0.0319,1
0.517,1,0.393,1
0.1895,0,0.1561,0
0.3364,0,0.2266,1
0.2766,0,-0.0544,1
0.5161,1,0.4143,1
0.2645,0,-0.0283,1
0.018,0,-0.0331,0
0.2654,0,0.0991,1
0.1351,0,0.1845,0
0.0394,0,-0.0092,0
0.4721,0,0.2083,1
0.6413,1,0.2821,1
0.9051,1,0.3513,0
0.2061,0,0.023,1
0.0759,0,0.5233,0
0.7281,1,0.3505,1
0.5174,1,0.4282,1
0.9149,1,0.5857,0
0.4667,0,0.1448,1
0.8679,1,0.4207,0
0.065,0,0.1029,0
0.994,1,0.4116,0
0.4122,0,0.1807,1
0.8671,1,0.4227,0
0.0365,0,0.1604,0
0.1874,0,-0.212,0
0.5881,1,0.4099,1
0.0152,0,-0.1632,0
0.5593,1,0.5418,1
0.2709,0,0.2073,1
0.5302,1,0.0151,1
0.7487,1,0.2882,1
0.6268,1,0.5778,1
0.7451,1,0.4535,1
0.3472,0,0.1957,1
0.7166,1,0.4624,1
0.537,1,0.4351,1
0.5083,1,0.5508,1
0.6262,1,0.2591,1
0.5038,1,0.3348,1
0.4463,0,-0.0215,1
0.3161,0,0.1356,1
0.6017,1,0.2344,1
0.2963,0,0.2274,1
0.0004,0,-0.0801,0
0.0625,0,0.0955,0
0.8794,1,0.4027,0
0.8463,1,0.6251,0
0.9575,1,0.7154,0
0.447,0,0.2483,1
0.2712,0,-0.051,1
0.9987,1,0.7686,0
0.6083,1,0.5362,1
0.9081,1,0.4271,0
0.3573,0,0.149,1
0.7726,1,0.7123,1
0.7797,1,0.3495,1
0.658,1,0.3088,1
0.2427,0,0.0535,1
0.8318,1,0.2894,0
0.4693,0,0.1571,1
0.7541,1,0.5858,1
0.5423,1,0.4383,1
0.1065,0,-0.0769,0
0.4373,0,0.2674,1
0.379,0,0.0881,1
0.9267,1,0.4095,0
0.837,1,0.5399,0
0.3171,0,0.2758,1
0.6103,1,0.3462,1
0.4414,0,0.3725,1
0.6562,1,0.4585,1
0.4338,0,0.1492,1
0.4074,0,0.1394,1
0.7775,1,0.4002,1
0.9499,1,0.3449,0
0.0454,0,0.307,0
0.0216,0,-0.1705,0
0.5223,1,0.5931,1
0.7224,1,0.7261,1
0.9161,1,0.4178,0
0.2912,0,0.1802,1
0.4769,0,0.2466,1
0.8269,1,0.602,0
0.3414,0,0.0078,1
0.0657,0,-0.0384,0
0.8476,1,0.6249,0
0.2667,0,-0.1659,1
0.9883,1,0.2463,0
0.2532,0,0.0916,1
0.6275,1,0.4189,1
0.9293,1,0.5524,0
0.2617,0,-0.0298,1
0.4263,0,0.2456,1
0.4299,0,0.2562,1
0.5317,1,0.4341,1
0.3693,0,-0.0876,1
0.5333,1,0.5662,1
0.628,1,0.1749,1
0.3032,0,-0.0983,1
0.6229,1,0.5508,1
0.2072,0,-0.1067,1
0.2606,0,-0.0323,1
0.0783,0,0.0435,0
0.8602,1,0.6462,0
0.4285,0,0.2157,1
0.2917,0,0.2857,1
0.671,1,0.3838,1
0.3629,0,-0.0211,1
0.4953,0,-0.0437,1
0.367,0,0.1269,1
0.2715,0,0.1226,1
0.9698,1,0.9082,0
0.0095,0,0.0948,0
0.3233,0,-0.16,1
0.6651,1,0.622,1
0.462,0,0.0118,1
0.4964,0,-0.048,1
0.5824,1,0.5799,1
0.7624,1,0.6049,1
0.1024,0,0.1942,0
0.0601,0,-0.0756,0
0.3338,0,0.4336,1
0.457,0,0.2745,1
0.8177,1,0.3528,0
0.0118,0,0.3363,0
0.631,1,0.526,1
0.3362,0,0.0983,1
0.4491,0,0.0509,1
0.5686,1,-0.0616,1
0.2181,0,0.1801,1
0.2059,0,-0.0313,1
0.7698,1,0.4456,1
0.832,1,0.4849,0
0.2617,0,-0.0509,1
0.6294,1,0.5165,1
0.5161,1,0.2786,1
0.596,1,0.1884,1
0.8638,1,0.5189,0
0.5979,1,0.3423,1
