series_id,time_offset,observation,reference_series,sensitivity_coefficient
0,-10,-0.028719,-0.016698,1.3077
0,-9,0.024346,0.009156,1.3077
0,-8,-0.026933,-0.008391,1.3077
0,-7,0.017225,0.011986,1.3077
0,-6,-0.044864,-0.020417,1.3077
0,-5,-0.012361,0.005151,1.3077
0,-4,-0.028002,-0.009543,1.3077
0,-3,0.010388,0.009049,1.3077
0,-2,0.014577,0.017064,1.3077
0,-1,0.00135,-0.001809,1.3077
0,0,-0.003056,-0.005947,1.3077
0,1,0.01325,-0.003226,1.3077
0,2,0.018459,-0.000968,1.3077
0,3,0.029705,0.004807,1.3077
0,4,-0.001382,-0.01586,1.3077
0,5,0.042192,-0.011723,1.3077
0,6,0.0397,0.000761,1.3077
0,7,0.055344,-0.000659,1.3077
0,8,0.000727,-0.012309,1.3077
0,9,0.035878,0.011429,1.3077
0,10,0.010883,-0.007182,1.3077
1,-10,0.008353,0.004397,0.7636
1,-9,0.014144,0.008134,0.7636
1,-8,-0.003144,0.002057,0.7636
1,-7,0.005014,-0.005857,0.7636
1,-6,0.025364,0.001691,0.7636
1,-5,-0.013582,-0.00229,0.7636
1,-4,-0.020406,-0.014311,0.7636
1,-3,0.008506,-0.01408,0.7636
1,-2,-0.01249,-0.003951,0.7636
1,-1,0.035173,0.005098,0.7636
1,0,0.012004,-0.003968,0.7636
1,1,0.001371,-0.003656,0.7636
1,2,0.044858,0.005447,0.7636
1,3,0.012112,-0.004094,0.7636
1,4,0.032162,0.024303,0.7636
1,5,0.027057,-0.007202,0.7636
1,6,0.036587,0.008908,0.7636
1,7,0.041724,0.000654,0.7636
1,8,0.048066,0.032357,0.7636
1,9,0.026765,-0.004799,0.7636
1,10,0.075337,0.00709,0.7636
2,-10,-0.017213,-0.021291,0.88
2,-9,0.015981,0.000159,0.88
2,-8,-0.02207,-0.004873,0.88
2,-7,-0.020546,0.002597,0.88
2,-6,-0.005429,-0.007737,0.88
2,-5,-0.024109,-0.023667,0.88
2,-4,-0.009437,0.016105,0.88
2,-3,0.003631,-0.006534,0.88
2,-2,0.008864,0.008454,0.88
2,-1,0.023981,-0.001563,0.88
2,0,0.016826,0.002427,0.88
2,1,0.029853,0.001502,0.88
2,2,0.00174,-0.004086,0.88
2,3,0.039494,0.000229,0.88
2,4,0.03759,0.007805,0.88
2,5,0.022732,0.000656,0.88
2,6,0.021501,0.00998,0.88
2,7,0.014145,-0.00491,0.88
2,8,0.049527,-0.000817,0.88
2,9,0.024555,-0.011577,0.88
2,10,0.019011,0.003315,0.88
3,-10,-0.001612,0.001307,0.8097
3,-9,5e-05,0.015348,0.8097
3,-8,-0.00765,-0.00142,0.8097
3,-7,0.002946,0.013867,0.8097
3,-6,-0.019509,-0.008612,0.8097
3,-5,-0.015789,-0.007625,0.8097
3,-4,-0.00735,-0.008258,0.8097
3,-3,-0.002519,-0.012686,0.8097
3,-2,0.024006,0.000712,0.8097
3,-1,0.008615,0.004969,0.8097
3,0,0.052133,0.020396,0.8097
3,1,0.014569,-0.001848,0.8097
3,2,0.025984,0.014829,0.8097
3,3,0.003094,-0.011095,0.8097
3,4,0.023905,-0.007225,0.8097
3,5,0.035105,-0.002321,0.8097
3,6,0.007444,-0.0106,0.8097
3,7,0.016127,0.001835,0.8097
3,8,-0.00463,-0.013322,0.8097
3,9,0.027921,-0.000185,0.8097
3,10,0.046662,-0.00086,0.8097
4,-10,0.02612,0.01378,0.8341
4,-9,0.00668,-0.006999,0.8341
4,-8,0.041689,0.01803,0.8341
4,-7,0.014217,0.010067,0.8341
4,-6,0.024529,0.003202,0.8341
4,-5,0.008107,-0.013077,0.8341
4,-4,-0.012502,0.001604,0.8341
4,-3,-0.035193,-0.01152,0.8341
4,-2,0.033796,0.005945,0.8341
4,-1,-0.016723,-0.004692,0.8341
4,0,0.042033,0.012385,0.8341
4,1,0.026076,0.012844,0.8341
4,2,0.062922,0.006826,0.8341
4,3,0.016682,-0.010199,0.8341
4,4,0.038477,-0.003316,0.8341
4,5,0.030539,0.012906,0.8341
4,6,0.051934,0.025281,0.8341
4,7,0.046931,-0.005376,0.8341
4,8,0.025776,0.001701,0.8341
4,9,0.05726,-0.005124,0.8341
4,10,0.038848,-0.009639,0.8341
5,-10,0.005788,-0.000519,1.0993
5,-9,-0.02654,-0.016147,1.0993
5,-8,0.026388,0.010591,1.0993
5,-7,-0.021114,-0.002603,1.0993
5,-6,0.014579,0.002455,1.0993
5,-5,0.022784,0.002116,1.0993
5,-4,-0.023028,-0.002398,1.0993
5,-3,-0.006808,-0.005648,1.0993
5,-2,-0.01582,-0.006734,1.0993
5,-1,-0.001906,0.009917,1.0993
5,0,0.027202,-0.013031,1.0993
5,1,0.021244,0.006754,1.0993
5,2,0.020525,0.007374,1.0993
5,3,0.005187,-0.006935,1.0993
5,4,0.033129,-0.004284,1.0993
5,5,0.020468,0.002999,1.0993
5,6,0.037521,0.002195,1.0993
5,7,0.045599,0.009855,1.0993
5,8,0.038788,0.007677,1.0993
5,9,0.023177,-0.007849,1.0993
5,10,0.062087,0.012456,1.0993
6,-10,0.0022,-0.004642,0.9559
6,-9,-0.018594,-0.013359,0.9559
6,-8,-0.020909,-0.015742,0.9559
6,-7,0.013399,0.006376,0.9559
6,-6,0.013704,0.021759,0.9559
6,-5,0.013309,-0.008483,0.9559
6,-4,-0.012593,-0.016863,0.9559
6,-3,-0.02893,0.005329,0.9559
6,-2,-0.029986,-0.010603,0.9559
6,-1,-0.000757,0.008632,0.9559
6,0,0.004223,-0.002304,0.9559
6,1,0.011322,-0.007799,0.9559
6,2,0.024242,-0.001881,0.9559
6,3,0.055345,0.015002,0.9559
6,4,0.029197,-0.017464,0.9559
6,5,0.040351,0.009101,0.9559
