assignment_score,status_flag,outcome,proximity_flag
0.3658,0,0.129,1
0.4407,0,0.1378,1
0.1168,0,-0.2972,0
0.5241,1,0.302,1
0.9586,1,0.3897,0
0.3194,0,0.3261,1
0.6887,1,0.5788,1
0.9283,1,0.2629,0
0.6772,1,0.5662,1
0.5375,1,0.1712,1
0.984,1,0.3451,0
0.1867,0,0.0715,0
0.0287,0,0.1275,0
0.5618,1,0.0873,1
0.2786,0,0.1867,1
0.6322,1,0.2857,1
0.0232,0,-0.1154,0
0.2555,0,-0.1451,1
0.7117,1,0.4335,1
0.9277,1,0.6003,0
0.3462,0,-0.1874,1
0.1702,0,-0.1701,0
0.5454,1,0.1211,1
0.2577,0,0.1648,1
0.7174,1,0.4609,1
0.0789,0,0.0522,0
0.2177,0,-0.2266,1
0.5919,1,0.3044,1
0.1696,0,-0.3032,0
0.2556,0,0.1182,1
0.6756,1,0.5139,1
0.4779,0,-0.2969,1
0.3223,0,-0.2298,1
0.0737,0,-0.1299,0
0.7179,1,0.2375,1
0.7558,1,0.3734,1
0.082,0,0.3436,0
0.1071,0,0.0506,0
0.3848,0,-0.0964,1
0.2794,0,-0.5418,1
0.9285,1,0.6593,0
0.8215,1,0.3213,0
0.4256,0,0.3123,1
0.7597,1,0.403,1
0.3058,0,0.0399,1
0.9383,1,0.3086,0
0.2299,0,0.1563,1
0.8405,1,0.5826,0
0.4342,0,0.3232,1
0.3155,0,0.1836,1
0.746,1,0.3612,1
0.0256,0,0.1647,0
0.9115,1,0.2722,0
0.4986,0,0.3365,1
0.5977,1,0.1147,1
0.319,0,0.2434,1
0.8443,1,0.5848,0
0.2203,0,0.1008,1
0.1972,0,0.1065,0
0.8509,1,0.4502,0
0.9267,1,0.3634,0
0.7269,1,0.2389,1
0.1736,0,0.1253,0
0.0886,0,0.0229,0
0.8362,1,0.4483,0
0.3623,0,0.2255,1
0.8045,1,0.5807,0
0.5277,1,0.2429,1
0.4209,0,-0.0178,1
0.5971,1,0.3193,1
0.4917,0,0.1091,1
0.84,1,0.0989,0
0.25,0,0.0056,1
0.0169,0,-0.1402,0
0.0023,0,-0.0647,0
0.8374,1,0.458,0
0.6938,1,-0.08,1
0.0251,0,0.0435,0
0.8284,1,0.5541,0
0.8105,1,0.4765,0
0.4271,0,-0.0291,1
0.3936,0,0.4832,1
0.0265,0,-0.205,0
0.9252,1,0.4651,0
0.3629,0,0.463,1
0.925,1,0.3336,0
0.7608,1,0.3322,1
0.6783,1,0.3786,1
0.2026,0,0.1752,1
0.6737,1,0.8649,1
0.1871,0,0.1151,0
0.2115,0,0.065,1
0.8153,1,0.4817,0
0.0269,0,-0.3593,0
0.5025,1,0.5384,1
0.2995,0,0.5389,1
0.2819,0,0.5522,1
0.2562,0,0.1527,1
0.5516,1,0.1375,1
0.3421,0,-0.0046,1
0.2474,0,0.063,1
0.3979,0,0.0589,1
0.5481,1,0.2048,1
0.6643,1,0.2158,1
0.1365,0,-0.1147,0
0.0823,0,-0.2431,0
0.8774,1,0.4888,0
0.3203,0,0.3419,1
0.4086,0,0.2173,1
0.9014,1,0.7496,0
0.5936,1,0.535,1
0.953,1,0.6161,0
0.8707,1,0.1686,0
0.4859,0,-0.0344,1
0.7784,1,0.2945,1
0.1324,0,-0.0145,0
0.4289,0,-0.0955,1
0.4518,0,0.4214,1
0.1325,0,0.3313,0
0.5051,1,0.1326,1
0.934,1,0.3754,0
0.1786,0,-0.1277,0
0.6205,1,0.174,1
0.6309,1,0.5635,1
0.6699,1,0.1679,1
0.1913,0,0.1002,0
0.0784,0,-0.5509,0
0.5099,1,0.6496,1
0.2286,0,0.085,1
0.0228,0,0.1805,0
0.2416,0,0.1322,1
0.4483,0,0.1986,1
0.4906,0,-0.0122,1
0.4184,0,-0.091,1
0.2168,0,-0.3371,1
0.584,1,0.691,1
0.3211,0,0.3651,1
0.4346,0,0.3849,1
0.8587,1,0.3415,0
0.47,0,0.2872,1
0.1788,0,-0.0815,0
0.8848,1,0.6568,0
0.6679,1,0.3271,1
0.0158,0,-0.0792,0
0.7734,1,0.2017,1
0.1517,0,0.0117,0
0.8456,1,0.1908,0
0.9833,1,0.1359,0
0.8642,1,0.3184,0
0.9903,1,0.5171,0
0.7045,1,0.2931,1
0.2411,0,-0.1048,1
0.1905,0,0.6793,0
0.7127,1,0.2777,1
0.1759,0,0.3086,0
0.3248,0,-0.3033,1
0.4143,0,-0.4328,1
0.5244,1,0.6004,1
0.5103,1,0.358,1
0.2737,0,0.2633,1
0.7298,1,0.486,1
0.972,1,0.1264,0
0.929,1,0.4809,0
0.1318,0,0.2583,0
0.9035,1,0.0709,0
0.1263,0,-0.0462,0
0.1896,0,0.178,0
0.1504,0,-0.1701,0
0.0748,0,0.2251,0
0.6835,1,0.1855,1
0.2218,0,-0.3622,1
0.3061,0,0.1679,1
0.4365,0,0.343,1
0.5659,1,0.6025,1
0.2473,0,0.429,1
0.0628,0,-0.2949,0
0.2062,0,0.0595,1
0.6046,1,0.5651,1
0.0728,0,0.155,0
0.907,1,0.3567,0
0.9615,1,0.7657,0
0.3968,0,0.2525,1
0.315,0,0.3406,1
0.0971,0,-0.2284,0
0.5506,1,0.2384,1
0.9499,1,0.2944,0
0.1155,0,0.023,0
0.0092,0,-0.066,0
0.1476,0,0.3079,0
0.4393,0,-0.0074,1
0.3413,0,0.0547,1
0.09,0,0.1845,0
0.8895,1,0.163,0
0.8208,1,0.3665,0
0.3109,0,0.1311,1
0.993,1,0.3614,0
0.1946,0,-0.0392,0
0.0774,0,0.0827,0
0.586,1,0.1509,1
0.9957,1,0.4984,0
0.4443,0,0.039,1
0.9499,1,0.4843,0
0.8192,1,0.5355,0
0.6885,1,0.4461,1
0.8822,1,0.36,0
0.8614,1,0.886,0
0.1688,0,0.1618,0
0.6327,1,0.1521,1
0.6536,1,0.4975,1
0.475,0,0.0714,1
0.2781,0,0.2024,1
0.3611,0,0.1802,1
0.1357,0,0.0813,0
0.843,1,0.4956,0
0.7675,1,0.1343,1
0.6047,1,0.1879,1
0.2533,0,-0.0475,1
0.1876,0,-0.0374,0
0.6016,1,0.6297,1
0.1295,0,0.1398,0
0.5829,1,0.3885,1
0.0069,0,-0.0091,0
0.6274,1,0.8001,1
0.29,0,-0.0408,1
0.7685,1,0.5526,1
0.4381,0,0.3099,1
0.2078,0,0.2242,1
0.3342,0,0.0266,1
0.9831,1,0.2393,0
0.6678,1,0.4369,1
0.8489,1,0.4246,0
0.2953,0,0.0443,1
0.7921,1,0.3064,1
0.7525,1,0.5444,1
0.0739,0,-0.011,0
0.4204,0,-0.056,1
0.5882,1,0.8388,1
0.2626,0,0.367,1
0.6374,1,0.2607,1
0.3489,0,0.4652,1
0.8738,1,0.1347,0
0.7686,1,0.1417,1
0.2302,0,-0.0279,1
0.7696,1,0.6557,1
0.444,0,0.0028,1
0.2735,0,0.2582,1
0.2663,0,-0.1055,1
0.2042,0,0.1001,1
0.9406,1,0.4757,0
0.8325,1,0.2711,0
0.0073,0,0.1041,0
0.0321,0,-0.1687,0
0.098,0,-0.2089,0
0.087,0,-0.0808,0
0.8989,1,0.1902,0
0.0323,0,-0.2396,0
0.7578,1,0.7176,1
0.2469,0,0.0339,1
0.0882,0,-0.0049,0
0.5068,1,0.2485,1
0.9656,1,0.3415,0
0.145,0,-0.461,0
0.6491,1,0.539,1
0.4077,0,0.5399,1
0.4529,0,0.0375,1
0.0357,0,0.0364,0
0.3346,0,0.1584,1
0.2998,0,0.0021,1
0.5979,1,0.2148,1
0.5509,1,0.3905,1
0.815,1,0.1282,0
0.3334,0,0.2754,1
0.8,1,0.2946,0
0.7341,1,-0.0727,1
0.0769,0,-0.1936,0
0.2352,0,0.0045,1
0.4125,0,0.2983,1
0.9825,1,0.7166,0
0.6172,1,0.497,1
0.996,1,0.5349,0
0.8857,1,0.5784,0
0.3851,0,-0.0104,1
0.0189,0,0.1214,0
0.717,1,0.5937,1
0.4535,0,-0.032,1
0.3015,0,-0.0626,1
0.4426,0,0.0379,1
0.8041,1,0.0948,0
0.6318,1,0.5902,1
0.6094,1,0.2294,1
0.8776,1,0.0865,0
0.1506,0,-0.4244,0
0.6678,1,0.6593,1
0.1665,0,0.2585,0
0.4644,0,-0.0237,1
0.3856,0,0.2527,1
0.4086,0,-0.1097,1
0.406,0,0.1082,1
0.8293,1,0.2478,0
0.6356,1,0.1083,1
0.8788,1,0.5938,0
0.8378,1,0.4763,0
0.7742,1,0.3127,1
0.0497,0,0.1572,0
0.4831,0,0.1715,1
0.9198,1,0.2715,0
0.7363,1,0.1815,1
0.2862,0,0.2477,1
0.0594,0,0.0416,0
0.4763,0,0.0904,1
0.6629,1,0.3023,1
0.1124,0,0.2579,0
0.3762,0,0.2557,1
0.4976,0,0.1367,1
0.5936,1,0.7877,1
0.8047,1,0.3883,0
0.9767,1,0.5494,0
0.3531,0,0.2572,1
0.1813,0,-0.2888,0
0.3859,0,0.0672,1
0.3883,0,0.094,1
0.3617,0,-0.3773,1
0.1751,0,0.1161,0
0.288,0,-0.2756,1
0.9906,1,0.9977,0
0.939,1,0.5929,0
0.6887,1,0.18,1
0.3304,0,0.559,1
0.7656,1,0.612,1
0.8091,1,0.5222,0
0.1494,0,0.1318,0
0.6244,1,0.2799,1
0.998,1,0.4065,0
0.3357,0,0.2214,1
0.0355,0,0.436,0
0.8409,1,0.5666,0
0.6119,1,0.6824,1
0.8367,1,0.4433,0
0.06,0,-0.0815,0
0.4423,0,0.4952,1
0.1047,0,0.4336,0
0.5965,1,0.1164,1
0.2633,0,0.0713,1
0.9888,1,0.684,0
0.3983,0,0.0162,1
0.8816,1,0.3866,0
0.8211,1,0.6718,0
0.1337,0,0.0724,0
0.8187,1,0.3557,0
0.852,1,0.5051,0
0.0801,0,0.1811,0
0.5822,1,-0.214,1
0.7574,1,0.8197,1
0.4285,0,0.1856,1
0.2434,0,0.2798,1
0.1923,0,0.2949,0
0.5537,1,0.1165,1
0.0732,0,-0.3537,0
0.3551,0,0.3182,1
0.5649,1,0.5358,1
0.4567,0,-0.0125,1
0.854,1,0.7095,0
0.8492,1,0.2385,0
0.6183,1,0.2478,1
0.347,0,0.0951,1
0.2968,0,-0.1364,1
0.2692,0,-0.0021,1
0.622,1,0.4275,1
0.8015,1,0.6272,0
0.514,1,0.3406,1
0.6896,1,0.304,1
0.6432,1,0.1409,1
0.0204,0,-0.0041,0
0.0146,0,-0.1608,0
0.6237,1,0.1534,1
0.62,1,0.1668,1
