outcome,focal_variable,auxiliary_variable,covariate_a
-1.0747,0.1852,1,0.9171
0.0709,0.5008,1,0.338
-0.289,0.5722,0,-0.4358
-0.2304,1.2072,1,-2.0305
0.1102,0.5441,0,2.3333
-0.177,0.7143,1,1.1027
-0.2563,0.2087,0,0.6786
-0.4273,0.7291,0,0.0943
-0.3318,-0.7345,0,1.9338
-0.0971,0.8298,1,0.923
-0.7785,-0.199,1,-1.3586
0.4542,1.2157,1,-0.2222
0.6646,1.1151,0,0.7896
-0.5504,0.4129,1,1.2407
0.315,0.1434,0,-0.2599
-0.0921,1.5172,1,1.561
-0.0372,1.5029,1,-1.297
0.0829,-0.2484,0,-0.2257
-0.1195,-0.3405,0,-0.1839
-0.2799,0.8452,1,0.9826
0.7828,1.1031,1,1.3361
-0.2337,0.5133,1,1.3119
0.5832,1.2493,1,-1.3585
-0.1411,1.2637,1,0.1752
0.6375,0.0359,0,-1.5008
0.0241,0.7629,1,0.0699
-0.5123,0.4229,1,1.6981
0.6512,1.1397,1,2.0568
-0.7099,0.3255,1,0.5122
-0.087,0.3573,0,0.323
-0.1023,1.0007,1,-0.1405
-0.3152,1.1115,1,0.0108
-0.7194,0.0138,0,1.487
-0.5118,0.669,1,-0.8343
-0.2068,0.2586,1,-0.2386
0.2818,0.4364,0,0.0457
0.0692,0.0277,0,-0.6825
0.157,1.1847,1,0.5292
0.8414,0.7305,0,1.5724
-0.544,-0.0497,1,0.6514
0.072,0.9769,0,-0.6833
-0.4951,0.4062,1,-0.7344
-0.0132,1.7299,1,-1.2587
-0.4507,-0.2377,1,-0.1007
0.5693,1.7826,1,-0.8247
-0.3161,0.5394,1,0.2494
0.2167,-0.4463,0,-0.6955
-0.4071,0.1934,1,-1.4024
-0.0185,-0.1896,0,-1.9357
0.1202,1.4636,1,0.6288
-1.3035,-0.0089,1,-1.3894
0.1748,0.6753,1,0.4965
-0.3964,1.6285,1,-0.6509
-0.5653,-0.2527,1,0.2616
-0.3936,0.7323,1,-0.0483
0.0028,-1.0121,0,0.1479
-0.3529,0.2117,1,0.9544
0.289,0.7265,0,-0.7086
-0.133,0.3418,0,1.4874
-0.203,0.4865,0,0.7634
-0.6603,0.507,1,-0.3379
0.5763,1.2647,1,-0.2331
-0.1845,0.4539,0,0.1135
-0.3572,-0.4749,0,-0.4286
0.4853,0.5619,0,-1.7415
-0.0426,0.6999,0,-0.9824
-0.5635,0.4958,1,-0.9857
0.3948,0.4091,0,-0.1994
-0.7414,-0.4271,1,-1.2203
-0.3552,0.5755,1,0.8275
-0.0673,0.6663,1,0.1265
-0.0157,1.6654,1,-0.4178
0.5107,0.9014,0,-0.8215
-0.3586,1.4643,1,0.0174
-0.1876,1.1585,1,0.9365
0.6284,0.9886,1,-1.8839
-0.2375,1.1032,1,-1.5039
-0.3075,0.4232,1,-1.0343
-0.8267,0.6343,1,-1.3157
-0.187,1.2073,1,-1.4525
-0.0448,1.306,1,0.0054
0.2001,-0.4465,0,-0.0417
-0.8911,0.7301,1,-0.382
0.1389,1.6483,1,0.1969
-0.4415,0.1739,1,-0.083
0.1104,0.6953,1,-0.7627
-0.182,0.5056,0,-0.4359
0.0481,0.7923,1,0.2122
0.0666,0.6857,1,-1.2189
-0.0851,0.6796,1,0.2931
-0.5473,0.3209,1,-3.2146
-0.6222,-0.0162,0,-0.0349
-0.0178,0.8273,1,0.3158
-0.1907,1.0231,1,-0.9683
0.8092,1.4272,0,1.0628
0.1629,0.6017,0,1.1435
0.2743,0.3794,0,0.2087
-0.2757,-0.5959,0,1.6188
-0.3189,-0.5939,0,-0.8017
-0.709,-0.3506,0,0.8798
-0.6434,-0.395,0,1.4117
-0.3832,-0.2827,0,-1.1421
0.7988,0.9905,1,0.0768
0.1446,0.4904,0,-1.4785
-0.3453,-0.5813,0,0.8351
-0.3021,0.0562,0,1.6666
0.3422,0.5007,1,-0.547
-0.6152,0.8915,1,-0.034
-0.7139,0.5397,1,-0.5115
-0.9055,-1.3867,0,2.4923
-0.4892,0.3148,1,-0.9086
-0.4145,-0.303,1,-0.9123
0.0583,0.5995,0,0.5577
0.1174,0.7033,0,-0.0887
-0.5297,-0.8396,1,2.5119
0.3337,0.4538,1,1.986
0.2596,0.9737,0,0.6164
-0.5018,-0.3919,0,0.9315
-0.2328,-0.7636,0,0.7312
0.509,1.3347,1,1.0453
-0.0966,0.2867,0,0.5238
0.6544,0.7892,1,-1.009
0.0398,0.2968,0,-0.8229
0.0009,1.931,1,0.9709
-0.0087,0.5911,1,-0.5015
0.1339,-0.4695,0,1.342
-0.2573,0.4759,1,0.7264
-0.2855,0.5061,1,-1.1867
-0.366,0.1152,1,-1.1477
-0.1783,0.4598,1,-1.306
-0.4764,1.2402,1,0.7849
-0.6573,0.9778,1,1.1639
0.6594,0.8312,0,-0.3895
0.3889,1.4485,1,-0.0046
0.0677,0.8403,1,0.3201
0.863,0.0925,0,0.8755
0.9263,1.1064,1,-0.3491
-0.0377,0.4403,1,0.4337
-0.7314,1.5452,1,-0.0732
-0.2333,0.7034,1,-1.5597
0.1156,1.1655,0,1.3681
-0.4721,0.1167,1,0.3161
-0.9754,-0.5678,0,-0.1908
0.1592,0.3082,1,-0.7573
-0.1003,-0.2645,1,-0.7081
-0.31,-0.7468,0,-1.4461
0.0266,-0.2186,0,-1.1236
-0.7218,0.3535,1,-0.9378
-0.4166,0.2654,1,-0.5553
-0.0796,-0.2097,1,1.3221
-0.5992,0.9383,1,0.5965
0.0156,0.0065,1,-0.9193
-0.4243,0.3114,1,-1.5938
0.5198,0.796,1,-0.9174
0.0768,1.4694,1,1.4455
0.5225,0.9458,1,0.6638
-0.2973,0.8659,1,-0.1804
0.5159,1.0016,1,-0.017
-0.2392,-0.2834,0,1.1452
0.2588,0.2121,0,-0.0223
-0.3245,0.5966,1,2.2656
-0.2306,1.8561,1,0.082
-0.6431,0.4495,1,-0.9317
-0.6824,0.5549,1,-2.0204
-0.0275,0.1368,0,0.4418
-1.0542,-0.4424,1,-0.2097
-0.1619,0.5625,1,-0.9373
-0.9374,-1.7422,0,0.6917
-0.4422,0.0937,0,0.2701
-0.0872,-0.0818,0,-0.4595
-0.4705,-0.7981,1,0.3058
-0.3508,0.3788,1,-0.1373
-0.8927,-1.0036,1,0.9242
0.1898,-0.2945,0,0.0905
0.5493,0.4934,0,-0.3823
0.3504,0.5227,1,1.2458
0.5151,1.7185,1,-1.0686
-0.3988,-0.0714,1,-1.4078
0.0637,0.2895,1,-0.5983
-0.8676,0.1888,1,-1.7847
0.3011,0.6556,1,-1.5366
-0.2445,0.8759,1,-0.2387
0.2128,-0.4708,0,0.0597
-0.2248,0.988,1,-0.264
0.7103,-0.077,0,0.5036
-0.4882,0.1182,1,-0.4677
-0.235,0.7478,1,-1.8982
-0.3269,1.05,1,0.7468
1.3508,0.1393,0,-0.0829
-0.5436,0.1988,0,0.6972
-0.4254,1.2277,1,0.6255
0.554,0.6888,1,1.0823
-0.2179,-0.5858,1,-0.8862
0.1349,1.0839,1,-1.188
0.2464,-0.1275,0,-0.0902
0.4118,0.8824,1,-0.1496
0.4748,0.2813,0,1.2479
-0.3766,0.0767,0,0.5113
-0.1637,0.0828,0,0.1481
-0.5098,-1.1959,0,-1.2145
-0.9252,-0.5539,1,-0.7056
0.2316,0.4127,0,-1.615
0.2879,1.1972,1,-0.8176
0.0922,-0.1392,0,0.1833
-0.8768,-0.8568,1,0.4513
-0.1351,0.5507,1,0.642
-0.8266,0.3141,1,0.7651
-1.3224,0.3853,1,0.5697
-0.5379,-0.2498,0,-0.6007
-0.1692,-0.7107,0,-0.7635
-0.7524,-0.4282,0,1.3001
0.6118,1.0875,0,-0.3898
-0.0382,1.7521,1,-0.3449
-0.6188,0.0034,1,-0.1169
-0.4688,0.9777,1,-1.4911
-0.0836,-0.5772,1,-0.1829
0.2726,-0.5237,0,-1.5634
0.5609,-0.1099,0,0.6291
0.3711,-0.1637,0,-0.4421
0.2533,0.7894,0,-0.5824
-0.0984,-0.2708,1,-1.9181
-0.3965,0.2428,0,0.3209
-1.1973,-1.2732,0,2.3935
0.6254,-0.29,0,-0.5717
-1.0251,0.051,1,-0.0483
-0.9499,-0.47,1,1.579
-0.014,1.4738,1,2.3699
0.5783,1.6051,1,-1.2089
-0.61,-0.4964,1,1.2111
0.1103,1.1133,1,-2.7753
0.0005,0.736,0,-3.1486
-0.1896,0.8609,1,-1.7884
-0.4963,0.1887,1,-0.3708
0.698,1.5017,1,-1.9971
0.0853,0.5686,0,1.3101
-0.4203,-0.189,1,0.0419
-0.9354,-0.9667,0,0.6193
-0.4946,-0.0609,1,-0.3465
0.0056,-0.0134,0,-0.5925
-0.0783,0.0562,1,-0.0839
0.9135,0.8534,1,1.948
-0.4356,-0.6056,0,0.1996
-0.2183,1.0933,1,0.1618
0.5587,0.5551,0,-1.0524
-0.781,-0.3791,1,-1.0034
-0.1841,0.8244,1,-0.6777
-0.103,0.4804,1,0.6153
0.0356,-0.551,0,0.3257
-0.9374,-1.0009,0,-1.9762
0.1503,-0.0913,0,0.4478
-0.2928,-0.5706,0,0.7194
0.0554,-0.5466,0,0.5895
0.1284,1.0454,1,0.5702
0.076,0.4171,0,0.5955
0.5842,-0.1176,0,0.3671
0.4737,0.8046,0,-1.335
0.1215,0.2976,0,0.9678
-0.4745,0.4869,1,1.722
0.7966,0.4556,0,1.2661
-0.7651,0.9855,1,0.2742
-0.1582,-0.578,0,-0.0738
-0.8123,0.3296,1,-0.6275
-0.3963,0.4091,1,-1.8741
0.0291,0.5789,0,0.9669
0.1455,-0.1233,0,-1.4825
-0.0458,0.6386,1,-0.3588
-0.8831,0.3121,1,-0.3804
0.3477,0.9225,0,1.2563
-0.2363,-0.5995,1,0.6644
-0.3026,-0.7774,0,-0.6145
-0.2841,0.52,1,-0.1134
-0.3753,-0.681,1,-0.208
0.0166,-0.1005,0,0.6239
-0.1506,0.7802,0,-1.0106
-0.2211,0.7879,1,0.2944
0.1372,0.981,1,-0.203
-0.3984,-0.0439,1,2.4504
-0.1392,0.8423,1,-0.7895
0.3543,1.1137,1,1.2242
0.0493,-0.2977,0,-0.4231
0.1628,1.1623,0,-0.0903
0.0197,-0.4981,0,1.3567
0.0902,-0.2913,0,0.55
-0.1454,-0.9743,0,-0.1092
-0.5258,0.2805,1,-0.3514
0.3834,0.3424,0,1.3932
-0.1616,0.0401,0,-0.355
0.0217,1.4021,0,-0.3568
-0.6231,0.4849,1,-0.6779
0.6732,0.3465,0,1.8101
-0.2238,1.1299,1,-1.2553
-1.0148,-0.8072,1,0.2883
-0.6912,0.2803,1,0.3362
-0.3619,0.3264,1,-1.1971
-0.5852,-0.0626,1,-0.2699
-0.5161,-0.177,1,-0.3714
-0.9609,0.639,1,-0.6032
-0.3176,0.9637,1,0.1067
0.9389,2.0378,1,0.3138
0.1477,0.9232,1,-0.2869
-0.5219,0.5304,1,2.0082
-0.852,-0.9564,0,-0.6571
0.0002,1.7295,1,0.2604
0.1089,0.4699,0,0.1224
-0.8,0.6969,0,0.6102
0.1593,-0.0437,0,0.2131
-0.0185,-0.373,0,-0.8358
-0.9388,-0.193,0,0.6527
-0.7245,0.6181,1,0.0218
0.3572,0.8869,1,0.9826
-0.0071,0.0177,0,0.7863
0.0181,0.4728,1,0.6043
-0.2005,1.0025,1,0.9355
-0.0808,0.4225,1,-0.5626
0.7609,0.4496,0,0.0955
-0.7228,0.2626,1,1.1144
-0.0993,-0.1764,0,0.2383
0.2412,0.6463,0,-0.7667
0.5498,0.3898,0,-1.0352
-0.8763,-0.205,1,0.7754
-0.4966,-0.3034,0,-0.5505
0.1317,0.5371,0,-0.05
0.8236,0.8239,0,1.4109
0.4038,-0.0351,0,-0.8391
-1.0338,-0.5144,0,1.1854
-0.8469,-0.4865,0,-1.0
-0.6685,0.0664,1,1.1994
-0.0664,1.4488,1,0.1718
-0.059,-0.1115,0,-1.7076
-0.7631,0.6288,1,-1.217
-0.0433,0.274,0,-0.859
0.6298,0.3357,0,0.1339
0.1978,-0.311,0,1.1259
-0.0166,0.4336,0,0.3894
-0.2111,0.4857,0,-0.8607
0.1888,1.4113,1,1.4459
-0.0351,0.469,1,-0.0614
0.1134,0.077,0,-0.9146
-0.0179,-0.0803,0,-0.1157
-0.2376,-0.281,0,0.0101
0.2446,0.157,0,-0.8535
-0.7019,-0.6794,0,0.9516
-0.0647,0.2826,0,-0.3619
0.2889,0.0625,0,-0.8292
-0.1389,0.2834,0,0.6105
-1.1266,-0.2974,1,0.3961
0.2122,1.4696,1,0.7874
-0.7156,-0.5499,0,0.7645
0.9096,0.6315,0,-0.6605
-0.2699,0.4225,1,-0.1154
0.4601,0.1346,0,-2.2482
-0.1882,-0.0152,0,0.1357
0.2204,-0.1007,0,0.2402
-0.9873,0.0372,1,-0.2022
-0.042,0.5255,0,-0.9588
-0.2804,0.3863,1,1.0566
0.3189,-0.0269,0,-1.2102
0.7451,0.5412,0,1.5026
-0.8246,-0.3277,0,-1.5196
-0.1636,0.6619,1,-0.2653
-1.1726,-0.0786,1,-2.2798
0.6229,0.9307,1,-0.7566
0.5621,0.2159,0,0.2411
-0.2744,-0.2922,1,0.3144
0.0362,0.4576,0,-0.2412
0.1448,0.0443,0,-0.5035
-0.5953,-0.6321,1,2.3602
0.0036,1.0143,1,-0.0827
-0.7475,-0.1126,1,2.8342
-0.0667,0.1026,0,1.5332
0.4128,0.55,0,-0.6693
-0.666,1.4509,1,-0.4861
0.035,-0.156,0,1.6172
0.5423,1.3619,1,-1.3912
-0.3305,0.6679,1,1.4016
-0.0376,0.2357,1,-0.113
-0.6775,-0.7365,0,-2.4823
-0.123,0.2372,0,-1.1329
-0.1324,0.5066,0,-0.2394
0.4623,1.5485,1,-0.5159
-0.2853,-0.4263,1,-0.7194
-0.3335,0.8406,1,-1.4815
0.2296,-0.1393,0,-0.0353
0.1834,-0.1355,1,1.5266
0.62,1.3334,0,1.5029
-0.759,0.2083,1,1.2073
1.0785,1.0989,0,-0.1772
-0.133,0.2535,0,1.2158
0.0811,0.9703,1,-1.5774
-0.4759,0.7906,1,0.6147
-0.4045,-0.8147,0,1.5927
0.3302,-0.7044,0,0.7424
0.5163,0.9702,1,-1.6218
-0.2234,0.6042,1,-0.8949
0.2121,0.0306,1,-0.6512
-0.336,0.5508,1,-1.0805
-0.8973,0.1676,1,-0.3295
0.2034,0.1182,0,-0.1008
0.003,0.0596,0,-0.2307
-0.2141,-0.5022,0,-0.9034
0.7302,0.6118,0,1.1065
-0.0589,0.7796,1,-0.1834
-0.944,-0.8504,0,-1.4261
-0.3564,0.2945,1,-0.4476
-0.9167,0.1125,0,-0.561
-0.6915,0.2346,1,-1.8235
0.2075,1.2558,1,-0.3848
0.72,0.1389,0,1.2826
-0.0913,-0.4544,0,-0.2543
-0.2868,0.0644,0,-0.187
0.1751,-0.2263,0,0.5486
