outcome,focal_variable,auxiliary_variable,covariate_a
-0.1199,0.0929,1,0.8524
0.1146,-0.0469,0,-0.3027
-0.5196,0.4043,1,0.6829
0.0142,1.1167,1,1.0563
-0.6245,-0.2596,0,-1.5135
-0.8859,0.558,1,0.075
0.4107,-0.0926,0,-0.0638
-1.1914,0.2664,1,0.5557
-0.2844,0.7349,1,1.2112
0.1046,-1.3893,0,-0.4633
-0.6705,0.9994,1,0.9458
-0.7712,0.4129,1,0.9081
0.0538,-0.1795,0,0.1561
0.2141,0.1832,0,0.275
0.4641,0.4576,0,-0.1952
-0.3283,1.6307,1,-0.8154
-0.5195,-0.0391,0,0.7275
-0.1299,0.3519,1,0.3082
0.1637,-0.0699,0,0.2914
0.1121,1.0244,1,1.2546
0.4576,1.1043,1,-0.6115
-1.0338,0.0389,0,-0.2645
0.7623,1.2902,1,-2.3859
0.1036,1.5544,1,0.4767
-1.0125,0.41,0,-0.992
-1.2066,0.0312,1,0.1706
-1.2254,0.6128,1,-1.5966
0.4749,-0.2169,0,0.1459
-0.3793,0.8472,1,0.2277
0.8549,1.0183,1,-0.1455
0.3914,1.0492,1,-0.233
0.5276,1.1954,1,-0.6185
-1.5587,-1.3436,0,1.438
-0.4838,-0.6644,0,-0.9767
-1.0711,-0.2939,0,1.7295
0.6665,1.4103,1,-0.2616
-0.7477,0.0049,1,1.4955
-0.7739,-0.4526,1,0.1001
0.1743,1.0693,0,0.8246
-0.2474,0.5439,1,-1.1277
0.0668,0.1572,0,-1.6991
-0.6863,0.79,0,1.3408
-0.4543,0.102,0,1.5251
-0.43,-0.1063,1,-0.7557
-0.5746,-0.1506,1,1.7906
0.7721,1.149,1,-1.9144
-0.0151,-0.056,1,-0.0112
0.0772,0.6068,1,-0.5717
1.2671,1.2472,1,-0.1252
0.3732,0.578,0,1.2867
0.2546,0.2065,1,-1.6935
0.6867,0.0164,0,0.2369
0.3903,0.2646,0,-1.5813
-1.7787,-0.2883,0,-0.8383
0.3342,0.6275,1,0.4531
-0.0964,1.0126,1,0.0268
-1.1362,0.0397,1,0.176
1.7068,2.1373,1,-1.3322
0.1596,0.203,0,1.1961
-0.138,-0.6015,0,-0.7851
0.3982,0.8845,0,0.9593
0.0026,0.5586,1,-0.1288
0.227,-0.115,0,0.9199
-0.2458,0.0011,1,1.8063
0.3125,0.3841,0,-0.1554
0.7474,1.1238,0,1.9301
0.5147,0.7622,1,0.6684
0.4285,0.1237,0,0.2755
-0.6629,0.3445,1,-1.1757
-0.6177,-0.0068,1,-0.5125
-0.5297,0.9155,0,0.3771
-0.4966,1.7373,1,-0.2891
-0.6702,-0.3917,0,0.3975
-0.7187,-0.1867,0,0.3413
0.1268,0.0851,0,-1.1018
-0.0709,0.4339,1,-0.4995
0.2302,0.2304,0,1.3506
0.0092,0.7989,1,-0.5027
0.3399,0.994,1,-1.2691
-0.1848,-0.8428,0,-0.8444
0.5204,0.9995,1,0.7846
0.0266,-0.068,0,-0.5153
-0.1827,0.7616,1,-1.3562
-0.8172,-0.2365,0,-0.3551
-0.2186,-0.0927,0,0.5698
0.6916,-0.1381,0,-0.7573
-0.1985,-0.2013,0,0.4858
-0.1479,0.3637,1,0.3286
1.505,0.4615,0,0.1936
0.204,0.347,0,-0.9071
-0.2404,0.3264,0,-1.159
0.4352,1.0347,0,1.1345
-0.5561,0.396,0,0.6719
-0.15,1.3055,1,0.3347
-0.5499,0.2596,1,0.3611
-1.474,-0.5249,0,0.7249
0.1165,1.039,1,-0.5708
-0.3158,-0.3466,0,0.9728
0.5646,0.5715,1,-0.2992
-0.4919,-0.7316,0,-0.2111
-0.3337,0.5669,1,1.5975
1.176,2.0971,1,0.6519
-0.1741,-0.9865,1,-0.6747
0.4126,0.2118,0,0.5187
1.2314,1.5412,1,-0.3503
-1.1898,-0.4764,0,0.0051
-0.6695,-1.0004,0,0.2888
-0.2403,1.0547,1,-1.6703
-0.4904,0.4934,1,-0.4487
0.3574,-0.1499,0,-0.3324
0.8381,-0.3033,0,0.1555
-0.7908,-1.4564,0,-1.3866
0.0771,0.818,1,-1.552
0.115,0.533,1,0.1541
-0.1295,1.7215,1,1.1741
0.3488,1.0566,1,0.2844
0.5953,1.3234,1,2.5608
0.173,0.8299,1,-0.1633
-1.3941,-0.7616,1,-0.0941
-0.5933,-0.1229,1,-0.7502
0.6395,0.22,0,1.3972
0.1091,0.128,1,-0.7205
-0.0829,0.3506,1,0.0996
-0.3589,0.034,1,-2.3225
0.727,0.0671,0,1.3373
-0.1816,0.6923,1,0.788
-0.2189,-0.199,1,-0.207
0.4349,-0.3935,0,-0.1699
-0.1127,0.7071,1,0.3128
-1.0449,0.5839,1,2.0538
-0.8755,0.2687,0,-0.4577
-0.1304,-0.0893,0,0.3528
-0.0517,-0.0339,1,-1.2699
0.3258,0.0058,0,0.9849
-0.4161,0.099,1,1.2186
-0.7896,-0.6225,0,-0.8564
-0.298,1.1229,1,-0.3149
1.022,1.1143,1,1.3026
-0.3481,0.2762,0,0.2252
-0.9435,0.7079,1,-1.4674
-0.324,0.2172,0,1.1012
-0.1378,1.1666,1,-0.3709
0.1889,0.6452,0,-1.085
0.6555,-0.0369,0,0.6969
-0.6082,-0.0554,1,2.3066
0.204,-0.1854,0,0.1165
0.2958,-0.4838,0,-0.182
-0.1672,-1.4492,1,-1.6207
0.4821,-0.1165,0,-1.3272
1.5926,1.1374,1,-2.1141
-0.5768,0.0163,1,-0.883
-1.7245,-1.0809,0,-0.7902
-0.9453,0.2223,1,-0.8376
1.0529,2.2621,1,-0.2661
-0.6275,-0.7052,0,-0.0639
0.4606,0.8649,0,-1.0995
-0.3332,-0.4163,0,-0.1241
0.22,0.6186,1,0.6195
-0.3669,0.3998,0,1.0074
-0.6292,0.7883,1,0.4553
-1.0638,-0.0114,1,1.3553
0.9452,0.8216,1,-1.4938
-0.4045,1.2492,1,-2.9732
-0.2992,0.2676,0,0.535
-0.1992,-0.2664,0,1.555
0.0306,0.5844,1,-1.5117
0.06,0.226,1,-0.2526
-0.4616,0.8368,0,-0.461
-1.3314,0.2844,1,1.6935
0.3061,-0.3232,0,0.4997
-0.4767,0.6861,1,-0.1765
0.2468,-0.3903,0,1.1169
0.1991,1.3314,1,0.1758
0.641,1.6708,1,-0.788
-0.5811,0.9009,1,1.1387
-0.1818,0.8668,1,-1.5435
-0.0187,-0.482,0,-0.2673
-1.1592,0.5449,1,-0.3365
0.7941,0.3952,1,2.422
-0.1103,0.5766,1,-1.6024
-0.3018,-0.3171,0,-1.0624
-0.4676,-0.3389,0,0.8458
0.6118,0.7091,1,-0.8099
0.2849,0.8713,0,0.3214
0.299,1.4121,1,-0.2964
-0.3467,0.3118,1,-0.7362
-0.2787,0.3036,1,0.1161
-0.3929,0.1472,1,0.5913
-1.0178,0.5939,1,-0.8857
-0.7089,-0.2671,0,-1.2146
-0.7979,0.4162,1,-0.3007
-0.2973,0.3743,1,-0.5811
-0.2992,0.7271,1,0.5612
0.4545,0.3932,1,0.1137
-0.4782,0.6659,1,0.3644
0.2929,0.5985,1,-0.0513
0.2774,0.8435,1,-0.5998
-0.825,0.0275,1,1.4914
-1.2798,-0.5239,0,0.2717
-1.018,-0.0968,1,-1.6213
-0.174,0.5309,1,0.4198
0.6972,0.5221,0,-1.4007
-0.294,0.28,1,0.3923
0.2855,0.5307,1,1.3313
-0.5003,-0.2244,0,0.1598
-0.7136,-0.2711,0,2.1507
-0.6581,0.4236,1,-1.3884
0.4641,1.4701,1,0.8532
0.176,0.5285,1,-0.3015
0.0294,-0.8442,0,-1.0753
-0.3506,0.1601,1,1.5378
-0.833,0.1192,1,-0.2308
0.1056,0.1078,0,0.0095
-0.3252,-0.5896,0,-0.0358
0.0728,1.0095,1,2.5643
-0.3086,0.4368,1,0.7001
-0.4255,-0.123,1,1.175
1.7399,0.6415,0,-0.8551
-0.804,-0.3166,1,-0.943
0.6856,1.4146,1,-0.7135
-0.7259,0.0387,0,-0.4216
-0.4676,-0.121,1,-1.0508
0.3954,1.4764,1,-0.3061
0.6632,0.3638,0,1.2676
-0.583,-0.8341,0,0.0654
-0.6063,0.3792,1,-1.9516
-0.8159,-0.5347,1,1.4372
-1.5281,-0.2538,1,-1.5883
0.5831,-0.2903,0,1.2096
-0.5269,0.0629,1,-0.0939
0.7116,1.2112,1,2.6337
-0.4992,-0.6935,0,1.6857
-0.6259,-0.4609,0,0.658
-0.0929,0.8253,1,-0.0396
-0.1253,-0.1341,0,1.4827
-0.5267,-0.622,0,0.1422
-0.3585,0.484,1,0.5681
0.1341,0.1205,0,0.1926
-0.326,0.2108,1,-0.6791
0.3699,0.494,0,0.3491
0.9705,2.0132,1,-0.792
-0.7466,-0.3471,0,0.7569
-0.6473,0.343,1,-0.0013
1.4408,1.7655,1,-0.5434
-0.6013,-1.2793,0,-0.6815
0.8235,1.1045,1,1.7155
0.0293,1.1238,1,-1.0939
-0.6043,-0.933,0,0.3171
-0.526,-0.4023,0,-1.1779
0.9337,1.535,1,0.4428
-0.292,0.4288,0,-0.3342
-0.2333,1.0732,1,0.0864
-0.048,-0.8054,1,-0.4204
-0.947,-0.8962,0,-2.0844
