outcome,focal_variable,auxiliary_variable,covariate_a
-0.9683,-0.9995,0,-0.7729
-0.5667,1.1265,1,-0.7803
1.3305,1.1345,0,-1.1499
0.6806,1.7549,1,0.9478
-0.3598,0.5254,1,-0.6615
-0.1086,-0.6022,0,-1.2957
-0.2026,0.8304,1,0.017
0.5193,1.4698,0,0.2015
-0.3547,0.2846,0,-0.3618
0.4727,0.9686,1,0.0296
0.4904,-0.1132,0,-0.2554
0.7717,0.3393,0,0.4208
0.0704,1.239,1,0.184
-0.5017,0.475,1,-0.7281
-0.3548,0.3683,1,0.5602
-0.1187,0.5205,1,-0.9422
0.3387,0.7778,1,-1.1619
-0.5671,1.119,1,0.08
0.1323,0.4623,0,0.2893
0.1972,0.476,0,0.7704
-0.3142,-0.9071,0,1.7643
-0.3029,1.0971,1,-1.9195
-0.4312,0.0017,1,-0.6724
-0.329,-0.3848,0,0.039
0.2691,1.1826,1,1.605
0.1067,-0.4525,0,-0.4813
-0.7459,0.0123,1,-1.7266
-0.4661,-0.1743,0,-1.1799
0.5649,0.6414,1,-0.2873
0.0833,-0.0648,0,0.3047
0.1389,0.7119,0,2.116
0.5748,0.2522,0,-0.7417
0.4181,0.5813,0,0.4465
0.3246,0.7418,1,0.9516
-0.7292,-0.4595,0,-0.6632
0.172,0.2036,1,1.5782
-0.3601,0.616,0,-0.6751
-0.5804,0.5806,1,-1.1308
0.0494,0.5008,0,1.4457
0.152,1.7181,1,-0.1418
-1.2749,0.4654,1,-1.2186
-0.7603,-0.0228,1,-0.5363
-0.5718,1.1173,1,-0.816
1.2828,1.1837,0,-0.6553
-0.2722,0.4081,1,0.0779
-0.7473,-0.342,0,-0.4468
0.2697,0.8461,1,1.9591
0.3964,0.4413,0,-0.4607
-0.0008,0.0565,0,-0.2538
0.8356,1.4965,1,1.3784
-0.5469,-0.444,1,1.143
0.4312,0.0443,0,0.6501
0.1776,0.0935,0,-0.5021
0.6822,-0.2125,0,1.3401
-0.5622,-0.0333,1,-0.4892
-0.8117,-0.9376,0,-1.1661
0.8056,1.3061,1,-0.699
0.5508,0.926,0,0.6971
0.748,2.1631,1,-0.3647
-0.5712,0.4716,1,0.0988
-0.0668,-0.2502,0,-1.0832
0.6069,1.2188,1,0.7214
-0.3031,0.3632,1,-0.8407
0.4315,-0.0747,0,-0.9854
-0.0661,0.9794,1,-0.3137
-0.8799,-0.1779,1,-1.4055
-0.3232,-0.792,0,-1.0244
1.0764,1.3119,0,-0.9723
-0.5617,0.4677,1,0.1292
0.3198,0.5284,0,-0.8134
0.1334,0.6369,1,0.1982
0.018,0.7594,0,-0.2622
-0.4427,0.988,1,-0.5734
-0.3996,-1.036,0,1.1336
-0.2958,0.3754,1,-1.7477
0.185,1.6,1,0.5139
-0.2797,0.2749,0,-1.2364
-0.5594,1.1458,1,-0.9168
-1.7019,0.3674,1,-0.5338
0.0785,0.5786,1,-0.3312
0.1538,-0.249,0,-0.1564
-0.913,0.3147,1,0.0017
