assignment_score,status_flag,outcome,proximity_flag
0.6592,1,0.6925,1
0.5048,1,0.4276,1
0.2097,0,-0.044,1
0.7989,1,0.1817,1
0.654,1,0.3691,1
0.5493,1,0.336,1
0.7229,1,0.3062,1
0.5928,1,0.4949,1
0.0095,0,-0.101,0
0.5471,1,0.2714,1
0.2516,0,-0.0621,1
0.7689,1,0.2678,1
0.6657,1,0.3641,1
0.5936,1,0.3463,1
0.5343,1,0.3736,1
0.2573,0,0.1345,1
0.6546,1,0.676,1
0.7942,1,0.6398,1
0.3926,0,-0.1168,1
0.351,0,0.2393,1
0.9381,1,0.6939,0
0.8013,1,0.604,0
0.0633,0,-0.0487,0
0.2768,0,0.3027,1
0.8523,1,0.371,0
0.7543,1,0.6363,1
0.194,0,0.2137,0
0.4891,0,0.2217,1
0.1872,0,-0.2135,0
0.59,1,0.4573,1
0.0883,0,0.1514,0
0.2636,0,0.0863,1
0.0836,0,0.0128,0
0.9243,1,0.4712,0
0.1799,0,-0.0251,0
0.5217,1,0.3922,1
0.1799,0,0.2337,0
0.128,0,-0.0671,0
0.0038,0,0.06,0
0.0821,0,-0.3788,0
0.5294,1,0.33,1
0.5262,1,0.5149,1
0.2547,0,0.2273,1
0.9333,1,0.3631,0
0.4401,0,0.1745,1
0.807,1,0.6089,0
0.5096,1,0.2814,1
0.2437,0,-0.1784,1
0.1592,0,-0.1554,0
0.1752,0,-0.1877,0
0.6749,1,0.5578,1
0.7488,1,0.4886,1
0.1672,0,-0.0158,0
0.9881,1,0.4112,0
0.9143,1,0.6879,0
0.2429,0,0.0393,1
0.314,0,0.1402,1
0.9716,1,0.4031,0
0.9976,1,0.3704,0
0.411,0,0.2733,1
0.8378,1,0.5118,0
0.9208,1,0.5498,0
0.8801,1,0.5608,0
0.6697,1,0.5971,1
0.4183,0,0.2982,1
0.5046,1,0.2317,1
0.7133,1,0.423,1
0.259,0,-0.0789,1
0.7098,1,0.4877,1
0.5258,1,0.3474,1
0.5817,1,0.3758,1
0.8359,1,0.4652,0
0.943,1,0.4895,0
0.3055,0,0.4683,1
0.7627,1,0.1869,1
0.5994,1,0.4052,1
0.2907,0,-0.1391,1
0.647,1,0.4671,1
0.6549,1,0.2324,1
0.8202,1,0.4847,0
0.4057,0,0.0104,1
0.8113,1,0.6533,0
0.2444,0,-0.1513,1
0.4612,0,-0.0666,1
0.6192,1,0.2623,1
0.5984,1,0.484,1
0.0488,0,0.0439,0
0.3527,0,0.0591,1
0.3187,0,0.1892,1
0.9681,1,0.1981,0
0.9687,1,0.5015,0
0.3626,0,0.1035,1
0.7862,1,0.51,1
0.5522,1,0.4229,1
0.3958,0,0.1539,1
0.782,1,0.5494,1
0.9521,1,0.8253,0
0.3596,0,0.2128,1
0.1686,0,-0.1776,0
0.9501,1,0.6586,0
0.7082,1,0.4379,1
0.2156,0,-0.0232,1
0.0085,0,-0.2168,0
0.6631,1,0.4027,1
0.6229,1,0.4644,1
0.2238,0,0.1775,1
0.6424,1,0.2754,1
0.1544,0,-0.0182,0
0.404,0,0.0448,1
0.3114,0,0.0059,1
0.864,1,0.2788,0
0.2921,0,-0.0738,1
0.2817,0,0.0372,1
0.7542,1,0.5684,1
0.0173,0,-0.0316,0
0.7189,1,0.2842,1
0.0471,0,-0.0271,0
0.0559,0,-0.1714,0
0.4906,0,0.2567,1
0.9578,1,0.76,0
0.1627,0,0.061,0
0.3041,0,0.1903,1
0.681,1,0.3452,1
0.8927,1,0.5503,0
