assignment_score,status_flag,outcome,proximity_flag
0.6409,1,0.4802,1
0.3947,0,0.3653,1
0.3397,0,0.1243,1
0.6549,1,0.5232,1
0.4937,0,0.06,1
0.1326,0,0.1439,0
0.8043,1,0.464,0
0.541,1,0.5018,1
0.967,1,0.3416,0
0.3157,0,-0.0008,1
0.5443,1,0.3965,1
0.6171,1,0.4483,1
0.8055,1,0.4921,0
0.9797,1,0.7395,0
0.4736,0,0.1341,1
0.5051,1,0.5982,1
0.4804,0,0.0317,1
0.1415,0,-0.1035,0
0.8535,1,0.7356,0
0.0682,0,-0.0881,0
0.7918,1,0.5716,1
0.7956,1,0.5076,1
0.9327,1,0.4437,0
0.4293,0,-0.0355,1
0.4973,0,0.0503,1
0.9895,1,0.5444,0
0.4155,0,0.1742,1
0.2075,0,0.0707,1
0.1938,0,0.0173,0
0.0986,0,0.1537,0
0.2759,0,0.2415,1
0.7141,1,0.5331,1
0.328,0,0.0409,1
0.6698,1,0.499,1
0.1209,0,0.067,0
0.4193,0,-0.049,1
0.1899,0,0.0488,0
0.7073,1,0.5164,1
0.7452,1,0.4035,1
0.6853,1,0.4388,1
0.0613,0,-0.0718,0
0.8186,1,0.6907,0
0.6787,1,0.3563,1
0.8692,1,0.6062,0
0.8941,1,0.7634,0
0.7059,1,0.5005,1
0.7053,1,0.6782,1
0.6327,1,0.502,1
0.6976,1,0.5676,1
0.2772,0,-0.0826,1
0.6929,1,0.6618,1
0.8747,1,0.5264,0
0.2851,0,0.0769,1
0.4188,0,0.0832,1
0.4091,0,0.0317,1
0.659,1,0.5953,1
0.6528,1,0.451,1
0.6752,1,0.407,1
0.1138,0,-0.0545,0
0.9167,1,0.4609,0
0.1575,0,0.227,0
0.2939,0,0.1035,1
0.6153,1,0.3888,1
0.608,1,0.3839,1
0.1735,0,0.1761,0
0.3261,0,0.13,1
0.7936,1,0.3589,1
0.5388,1,0.1026,1
0.9229,1,0.5939,0
0.4711,0,0.3056,1
0.3609,0,0.0147,1
0.6986,1,0.5828,1
0.5744,1,0.6858,1
0.5656,1,0.3128,1
0.3233,0,-0.0191,1
0.428,0,0.0863,1
0.0023,0,0.0464,0
0.2468,0,0.115,1
0.0464,0,-0.0008,0
0.9008,1,0.8795,0
0.4159,0,0.2234,1
0.9841,1,0.5547,0
0.4701,0,0.1184,1
0.0911,0,-0.0174,0
0.713,1,0.6641,1
0.6158,1,0.3027,1
0.6172,1,0.4567,1
0.9587,1,0.3611,0
0.8471,1,0.591,0
0.6862,1,0.5672,1
0.3713,0,-0.0599,1
0.8495,1,0.363,0
0.5123,1,0.4564,1
0.9113,1,0.6156,0
0.0091,0,-0.1713,0
0.8786,1,0.531,0
0.1718,0,0.131,0
0.526,1,0.5156,1
0.6901,1,0.4571,1
0.7259,1,0.4345,1
0.6764,1,0.2056,1
0.4268,0,0.036,1
0.4461,0,0.1731,1
0.8537,1,0.5509,0
0.5977,1,0.5693,1
0.4638,0,0.3645,1
0.1316,0,0.0395,0
0.3818,0,-0.1318,1
0.4788,0,0.0832,1
0.961,1,0.7267,0
0.4008,0,0.2662,1
0.0315,0,-0.1892,0
0.1503,0,-0.0588,0
0.2092,0,0.0373,1
0.1385,0,0.151,0
0.3152,0,-0.013,1
0.3581,0,0.1776,1
0.5971,1,0.1499,1
0.175,0,0.0336,0
