series_id,time_offset,observation,reference_series,sensitivity_coefficient
0,-10,-0.012542,0.008312,1.2312
0,-9,-0.000768,0.012983,1.2312
0,-8,0.005322,0.008928,1.2312
0,-7,0.026057,0.027458,1.2312
0,-6,0.002939,-0.00044,1.2312
0,-5,-0.016468,-0.002125,1.2312
0,-4,0.019452,0.022341,1.2312
0,-3,-0.008125,-0.006165,1.2312
0,-2,-0.006418,0.002232,1.2312
0,-1,0.015506,0.009835,1.2312
0,0,0.032094,0.000501,1.2312
0,1,0.004252,-0.008186,1.2312
0,2,0.037153,8e-05,1.2312
0,3,0.015716,-0.002139,1.2312
0,4,-0.012886,-0.020784,1.2312
0,5,-0.017868,-0.016205,1.2312
0,6,0.077762,0.003958,1.2312
0,7,0.030858,0.002242,1.2312
0,8,-0.001614,-0.007305,1.2312
0,9,0.03671,0.020861,1.2312
0,10,0.002537,-0.019699,1.2312
1,-10,0.018936,0.015976,0.8015
1,-9,0.012549,0.002569,0.8015
1,-8,0.056693,0.027347,0.8015
1,-7,0.012551,-0.00286,0.8015
1,-6,0.025554,0.018161,0.8015
1,-5,-0.007163,-0.000363,0.8015
1,-4,-0.015471,0.001286,0.8015
1,-3,0.028877,0.009253,0.8015
1,-2,-0.009103,-0.003669,0.8015
1,-1,-0.000625,-0.010261,0.8015
1,0,0.001098,0.000191,0.8015
1,1,0.019526,0.029449,0.8015
1,2,0.025389,-0.014098,0.8015
1,3,0.017389,0.006871,0.8015
1,4,0.023463,-0.007487,0.8015
1,5,0.015309,0.004081,0.8015
1,6,0.03938,0.010239,0.8015
1,7,0.032801,0.013665,0.8015
1,8,0.025906,0.008402,0.8015
1,9,0.032541,0.005711,0.8015
1,10,0.037427,0.008781,0.8015
2,-10,0.007847,0.001132,1.3058
2,-9,0.018767,0.008549,1.3058
2,-8,0.004335,-0.006747,1.3058
2,-7,0.008149,-0.00779,1.3058
2,-6,0.016981,0.0136,1.3058
2,-5,-0.019138,-0.00618,1.3058
2,-4,-0.02836,-0.01064,1.3058
2,-3,-0.010983,-0.001505,1.3058
2,-2,-0.028511,-0.015799,1.3058
2,-1,-0.004108,0.001229,1.3058
2,0,-0.025789,-0.008649,1.3058
2,1,0.036129,0.011754,1.3058
2,2,0.028665,0.003507,1.3058
2,3,0.031869,0.005274,1.3058
2,4,0.034502,0.001286,1.3058
2,5,0.055284,0.010079,1.3058
2,6,0.014643,-0.008019,1.3058
2,7,-0.00642,-0.015754,1.3058
2,8,0.030307,-0.00167,1.3058
2,9,0.030319,-0.000878,1.3058
2,10,0.008593,-0.003151,1.3058
3,-10,-0.039228,-0.003484,1.0108
3,-9,-0.006519,0.006657,1.0108
3,-8,-0.01399,0.002232,1.0108
3,-7,-0.041913,0.000447,1.0108
3,-6,-0.012474,-3.7e-05,1.0108
3,-5,-0.000357,-0.012377,1.0108
3,-4,-0.003867,-0.000887,1.0108
3,-3,0.007092,-0.006943,1.0108
3,-2,0.018916,-0.004047,1.0108
3,-1,0.034801,0.012596,1.0108
3,0,0.023684,0.00998,1.0108
3,1,0.020478,0.000824,1.0108
3,2,0.031307,0.008682,1.0108
3,3,0.045406,-0.002132,1.0108
3,4,0.010318,-0.002974,1.0108
3,5,0.035,-0.003719,1.0108
3,6,0.031769,0.002178,1.0108
3,7,-0.007514,0.00266,1.0108
3,8,0.008009,-0.010388,1.0108
3,9,0.011411,0.003447,1.0108
3,10,0.008049,-0.009851,1.0108
4,-10,-0.002905,-0.026216,1.0216
4,-9,-0.023561,-0.015004,1.0216
4,-8,-0.021717,-0.014708,1.0216
4,-7,0.020923,-0.001061,1.0216
4,-6,-0.013731,0.007507,1.0216
4,-5,-0.013844,-0.01878,1.0216
4,-4,-0.018001,-0.004896,1.0216
4,-3,-0.016089,0.012148,1.0216
4,-2,0.003873,-0.003363,1.0216
4,-1,0.005567,-0.011503,1.0216
4,0,0.008762,-0.009817,1.0216
4,1,-0.028031,-0.006633,1.0216
4,2,0.027741,-0.003906,1.0216
4,3,0.000161,-0.010045,1.0216
4,4,0.022918,-0.004865,1.0216
4,5,0.016826,-0.003297,1.0216
4,6,0.012672,0.000662,1.0216
4,7,0.022036,0.017196,1.0216
4,8,0.046472,0.00733,1.0216
4,9,0.019653,-0.001083,1.0216
4,10,0.020003,0.005604,1.0216
5,-10,0.022815,0.016758,0.8671
5,-9,0.012023,0.001071,0.8671
5,-8,-0.000799,-0.001144,0.8671
5,-7,0.003434,-0.004012,0.8671
5,-6,-0.009367,-0.005061,0.8671
5,-5,0.004718,0.00909,0.8671
5,-4,0.014631,0.005953,0.8671
5,-3,-0.005897,-0.000467,0.8671
5,-2,-0.027879,-0.012898,0.8671
5,-1,0.014152,0.006391,0.8671
5,0,0.019374,-0.009599,0.8671
5,1,0.037919,0.002463,0.8671
5,2,0.049411,0.021955,0.8671
5,3,0.027171,-0.006608,0.8671
5,4,0.046297,-0.010119,0.8671
5,5,0.017954,-0.011964,0.8671
5,6,0.015822,0.000319,0.8671
5,7,0.038305,-0.004466,0.8671
5,8,0.024637,0.005965,0.8671
5,9,0.035251,0.017622,0.8671
5,10,0.008277,0.007649,0.8671
6,-10,0.035821,0.003381,0.8608
6,-9,0.005032,-0.006753,0.8608
6,-8,0.011576,-0.002157,0.8608
6,-7,0.007173,0.007988,0.8608
6,-6,-0.010495,-0.007105,0.8608
