series_id,time_offset,observation,reference_series,sensitivity_coefficient
0,-10,0.028142,0.004546,1.199
0,-9,-0.037735,-0.01207,1.199
0,-8,-0.003921,-0.00906,1.199
0,-7,0.01591,0.00889,1.199
0,-6,0.015857,0.001736,1.199
0,-5,0.011656,-0.004294,1.199
0,-4,0.009176,0.02015,1.199
0,-3,-0.022576,-0.002241,1.199
0,-2,-0.004366,-0.009352,1.199
0,-1,-0.030586,-0.016556,1.199
0,0,-0.010698,0.010836,1.199
0,1,-0.036878,0.00798,1.199
0,2,0.00243,0.000977,1.199
0,3,-0.041939,-0.006319,1.199
0,4,-0.033206,0.006117,1.199
0,5,-0.045033,0.007473,1.199
0,6,-0.051048,-0.023956,1.199
0,7,-0.046916,-0.009498,1.199
0,8,-0.006809,0.009066,1.199
0,9,-0.033601,-0.011973,1.199
0,10,-0.024026,-0.002702,1.199
1,-10,-0.042509,-0.006831,0.7062
1,-9,0.005969,0.002152,0.7062
1,-8,-0.008002,-0.006744,0.7062
1,-7,0.010676,-0.009441,0.7062
1,-6,-0.015038,-0.01256,0.7062
1,-5,-0.006937,-0.012683,0.7062
1,-4,-0.0251,0.010682,0.7062
1,-3,0.0278,0.00684,0.7062
1,-2,-0.010502,0.00159,0.7062
1,-1,-0.009745,-8.1e-05,0.7062
1,0,-0.002895,0.019943,0.7062
1,1,0.009393,0.009305,0.7062
1,2,-0.021618,0.013745,0.7062
1,3,0.006284,0.000554,0.7062
1,4,-0.037087,-0.007093,0.7062
1,5,-0.063718,-0.009829,0.7062
1,6,-0.048406,-0.008498,0.7062
1,7,-0.024522,-0.005951,0.7062
1,8,-0.014211,0.000181,0.7062
1,9,-0.02554,0.00181,0.7062
1,10,-0.002145,-0.002614,0.7062
2,-10,-0.013144,-0.011522,0.9033
2,-9,0.029599,0.020376,0.9033
2,-8,-0.026934,-0.013697,0.9033
2,-7,0.016986,0.016321,0.9033
2,-6,-0.012984,-0.002452,0.9033
2,-5,0.019529,-0.002874,0.9033
2,-4,-0.014166,-0.0067,0.9033
2,-3,-0.008992,0.006295,0.9033
2,-2,-0.007164,-0.00905,0.9033
2,-1,-0.010667,0.000614,0.9033
2,0,-0.019256,0.005032,0.9033
2,1,-0.032932,-0.019435,0.9033
2,2,-0.019867,-0.005396,0.9033
2,3,-0.009032,0.021097,0.9033
2,4,-0.011956,-0.006149,0.9033
2,5,-0.006006,-0.008091,0.9033
2,6,-0.040404,-0.004336,0.9033
2,7,5e-06,0.023959,0.9033
2,8,-0.012554,0.01652,0.9033
2,9,-0.07157,-0.000674,0.9033
2,10,-0.011894,0.010417,0.9033
3,-10,-0.012657,0.000683,1.3201
3,-9,0.002915,0.003926,1.3201
3,-8,0.006567,0.007711,1.3201
3,-7,-0.013362,-0.004387,1.3201
3,-6,-0.01852,-0.00854,1.3201
3,-5,-0.004556,0.004619,1.3201
3,-4,-0.002688,-0.011454,1.3201
3,-3,0.010684,-0.001082,1.3201
3,-2,-0.010496,-0.001903,1.3201
3,-1,-0.038974,-0.017132,1.3201
3,0,-0.034318,-0.008426,1.3201
3,1,-0.043833,-0.00079,1.3201
3,2,-0.056783,-0.027507,1.3201
