assignment_score,status_flag,outcome,proximity_flag
0.5437,1,0.1384,1
0.3378,0,0.1079,1
0.9788,1,0.6664,0
0.4919,0,0.2813,1
0.0355,0,-0.1237,0
0.8978,1,0.2926,0
0.4162,0,0.2878,1
0.5872,1,0.4876,1
0.2658,0,-0.0663,1
0.0324,0,-0.1161,0
0.0941,0,0.0321,0
0.286,0,0.214,1
0.8331,1,0.449,0
0.9915,1,0.3231,0
0.1111,0,-0.2533,0
0.6445,1,0.32,1
0.9363,1,0.4049,0
0.3099,0,-0.0755,1
0.9272,1,0.7394,0
0.4665,0,-0.0958,1
0.3462,0,-0.008,1
0.8156,1,0.8159,0
0.1017,0,-0.0904,0
0.488,0,0.1436,1
0.204,0,0.2728,1
0.4614,0,0.1203,1
0.527,1,0.4657,1
0.6244,1,0.3365,1
0.1418,0,-0.0882,0
0.8045,1,0.2495,0
0.9186,1,0.493,0
0.8851,1,0.5718,0
0.574,1,0.7126,1
0.6743,1,0.371,1
0.9066,1,0.7011,0
0.1071,0,0.1722,0
0.7068,1,0.351,1
0.5685,1,0.4249,1
0.7181,1,0.4715,1
0.1962,0,-0.1491,0
0.2975,0,0.0514,1
0.9167,1,0.3986,0
0.0933,0,-0.0067,0
0.9255,1,0.5031,0
0.7207,1,0.4583,1
0.257,0,-0.0136,1
0.6942,1,0.299,1
0.8996,1,0.2542,0
0.2016,0,0.1998,1
0.6914,1,0.4603,1
0.961,1,0.6913,0
0.2523,0,0.0518,1
0.9156,1,0.5212,0
0.1291,0,-0.0029,0
0.7274,1,0.4124,1
0.048,0,0.0492,0
0.529,1,0.3624,1
0.0547,0,0.16,0
0.9769,1,0.7504,0
0.8392,1,0.6964,0
0.8617,1,0.7396,0
0.9253,1,0.3554,0
0.7203,1,0.646,1
0.2902,0,0.1001,1
0.9999,1,0.565,0
0.35,0,-0.003,1
0.8704,1,0.4545,0
0.7509,1,0.1444,1
0.6353,1,0.524,1
0.6721,1,0.4209,1
0.0002,0,-0.0777,0
0.5733,1,0.6223,1
0.0948,0,0.0299,0
0.999,1,0.4111,0
0.2108,0,0.0606,1
0.8489,1,0.7616,0
0.7911,1,0.4677,1
0.6707,1,0.5723,1
0.576,1,0.3146,1
0.428,0,0.2026,1
0.7627,1,0.5097,1
0.3884,0,0.1168,1
0.755,1,0.4032,1
0.183,0,0.0125,0
0.8189,1,0.2127,0
0.7701,1,0.2389,1
0.762,1,0.245,1
0.4086,0,-0.1063,1
0.7021,1,0.4179,1
0.5097,1,0.3271,1
0.2692,0,-0.0777,1
0.4694,0,0.3206,1
0.4003,0,0.079,1
