assignment_score,status_flag,outcome,proximity_flag
0.2485,0,-0.4422,1
0.1984,0,0.3611,0
0.5175,1,0.8473,1
0.4948,0,0.0666,1
0.7638,1,0.4498,1
0.3771,0,0.2851,1
0.5915,1,0.4455,1
0.3302,0,0.0765,1
0.3905,0,0.1895,1
0.5811,1,0.7772,1
0.7176,1,0.4232,1
0.631,1,0.4843,1
0.6244,1,0.3164,1
0.8893,1,0.489,0
0.0499,0,0.1996,0
0.0166,0,-0.0045,0
0.6918,1,0.2541,1
0.2195,0,-0.2652,1
0.8001,1,0.2773,0
0.6861,1,0.722,1
0.4906,0,0.1097,1
0.4156,0,-0.2294,1
0.2192,0,-0.2991,1
0.382,0,0.2051,1
0.2079,0,-0.2904,1
0.3622,0,-0.1725,1
0.2733,0,0.1543,1
0.9713,1,0.7882,0
0.6292,1,0.5591,1
0.6787,1,0.1441,1
0.077,0,0.1531,0
0.6146,1,0.6539,1
0.6146,1,0.2052,1
0.3573,0,0.1866,1
0.6718,1,0.6501,1
0.0388,0,0.1681,0
0.8292,1,0.0935,0
0.3256,0,-0.0545,1
0.3619,0,0.0472,1
0.6573,1,0.3813,1
0.3421,0,0.0453,1
0.4826,0,-0.1291,1
0.9731,1,0.3636,0
0.3491,0,-0.0389,1
0.4254,0,0.1613,1
0.1383,0,-0.0626,0
0.9512,1,0.4642,0
0.6957,1,0.0209,1
0.4423,0,0.2691,1
0.5541,1,0.3848,1
0.7263,1,0.5337,1
0.3671,0,-0.0469,1
0.9198,1,0.48,0
0.0974,0,0.0511,0
0.8012,1,0.3891,0
0.2823,0,0.0777,1
0.0089,0,0.1638,0
0.7878,1,0.4414,1
0.0892,0,0.1871,0
0.4007,0,0.2542,1
0.9097,1,0.1717,0
0.7682,1,0.6603,1
0.4814,0,0.0975,1
0.3576,0,0.2464,1
0.2411,0,0.1055,1
0.0445,0,-0.152,0
0.3887,0,-0.5093,1
0.488,0,0.6613,1
0.2249,0,-0.0934,1
0.3085,0,0.0153,1
0.6054,1,0.1343,1
0.4499,0,-0.0823,1
0.9641,1,0.4609,0
0.0962,0,-0.1613,0
0.5315,1,0.2553,1
0.4728,0,0.0926,1
0.79,1,0.6208,1
0.9193,1,0.5534,0
0.3362,0,-0.1789,1
0.8088,1,0.6842,0
0.8777,1,0.3261,0
0.5536,1,0.0387,1
0.7746,1,0.476,1
0.0985,0,-0.0884,0
0.8741,1,-0.0528,0
0.961,1,0.4088,0
0.8311,1,0.6594,0
0.1172,0,0.0415,0
0.0025,0,-0.2757,0
0.3456,0,0.1942,1
0.2779,0,0.1928,1
0.5737,1,0.4177,1
0.0031,0,0.3235,0
0.5325,1,0.6375,1
0.9089,1,0.6335,0
0.5165,1,0.1409,1
0.0435,0,0.0917,0
0.4888,0,0.1424,1
0.6691,1,0.3353,1
0.3095,0,0.0323,1
0.9195,1,-0.0549,0
0.9511,1,0.5379,0
0.7078,1,0.3875,1
0.5511,1,0.0326,1
0.3858,0,-0.0607,1
0.4906,0,-0.3439,1
0.3739,0,0.3325,1
0.5839,1,0.8089,1
0.2196,0,0.0809,1
0.1177,0,0.0394,0
0.9771,1,0.2419,0
0.2642,0,0.2378,1
0.5902,1,0.1708,1
0.7002,1,0.2748,1
0.5818,1,-0.027,1
0.7127,1,0.4345,1
0.2573,0,-0.1235,1
0.8892,1,0.0496,0
0.3997,0,-0.1674,1
0.5655,1,0.7436,1
0.1723,0,0.2213,0
0.4059,0,0.28,1
0.673,1,-0.0027,1
0.5987,1,0.4378,1
0.4444,0,0.2416,1
0.1357,0,0.2083,0
0.2004,0,0.0278,1
0.9411,1,0.5184,0
0.7936,1,0.5026,1
0.4273,0,0.3432,1
0.901,1,0.3659,0
0.1896,0,0.086,0
0.0785,0,0.4214,0
0.9989,1,0.5512,0
0.5296,1,0.3621,1
0.9489,1,0.8796,0
0.5412,1,0.3825,1
0.4834,0,0.3673,1
0.7244,1,0.7187,1
0.4783,0,0.0562,1
0.4614,0,0.2184,1
0.5459,1,0.3641,1
0.2177,0,-0.1626,1
0.4242,0,-0.0923,1
0.7183,1,0.5636,1
0.4754,0,0.2665,1
0.6518,1,0.5243,1
0.975,1,0.4866,0
0.6692,1,0.2116,1
0.4983,0,0.5564,1
0.9129,1,0.3235,0
0.8072,1,0.5407,0
0.4063,0,-0.0279,1
0.7027,1,0.3279,1
0.5091,1,0.2598,1
0.6146,1,0.4029,1
0.6331,1,0.5006,1
0.5234,1,0.5254,1
0.4308,0,-0.1759,1
0.3015,0,-0.2102,1
0.2978,0,-0.0129,1
0.9141,1,0.4716,0
0.3422,0,-0.0659,1
0.5367,1,0.4318,1
0.0111,0,-0.032,0
0.825,1,0.2907,0
0.9759,1,0.6777,0
0.3104,0,0.1751,1
0.7498,1,0.4974,1
0.8226,1,0.389,0
0.8001,1,0.3119,0
0.7909,1,0.6721,1
0.3854,0,0.1178,1
0.2199,0,-0.1878,1
0.5363,1,0.5272,1
0.8657,1,0.8904,0
0.5153,1,0.2128,1
0.9367,1,0.5041,0
0.1248,0,0.0088,0
0.2954,0,0.2221,1
0.8684,1,0.4686,0
0.971,1,0.3932,0
0.6285,1,0.5394,1
0.5474,1,0.4632,1
0.4957,0,0.4122,1
0.0932,0,0.2893,0
0.7431,1,0.3994,1
0.0779,0,0.194,0
