running_var,treated,y,near_cutoff
0.6401,1,0.0263,1
0.9203,1,0.0696,0
0.2816,0,0.1915,1
0.3612,0,0.3266,1
0.8235,1,-0.1351,0
0.6098,1,0.1563,1
0.4456,0,0.089,1
0.7222,1,-0.3051,1
0.0299,0,0.1116,0
0.3863,0,0.2403,1
0.4149,0,0.1998,1
0.085,0,-0.0254,0
0.9648,1,-0.1014,0
0.9785,1,-0.0359,0
0.5986,1,-0.0455,1
0.3341,0,0.059,1
0.6496,1,-0.2118,1
0.927,1,-0.0108,0
0.8737,1,-0.1126,0
0.3229,0,-0.0039,1
0.7116,1,0.0727,1
0.154,0,-0.1321,0
0.673,1,0.0012,1
0.2364,0,-0.0102,1
0.8109,1,0.0338,0
0.6974,1,-0.1797,1
0.0112,0,-0.0298,0
0.5616,1,-0.2107,1
0.4526,0,0.1793,1
0.9386,1,-0.2428,0
0.5484,1,-0.1002,1
0.112,0,-0.1652,0
0.7935,1,-0.1111,1
0.878,1,-0.0382,0
0.5544,1,0.0222,1
0.8755,1,-0.2422,0
0.3111,0,-0.1892,1
0.2921,0,0.254,1
0.8853,1,-0.0381,0
0.4175,0,-0.1381,1
0.9942,1,-0.0168,0
0.9354,1,-0.043,0
0.5367,1,-0.1778,1
0.7844,1,0.0171,1
0.7997,1,-0.2669,1
0.3562,0,0.1105,1
0.4615,0,0.0653,1
0.9031,1,0.0082,0
0.5081,1,0.0327,1
0.3009,0,0.2378,1
0.1279,0,0.2724,0
0.4265,0,-0.1623,1
0.4498,0,0.1845,1
0.4935,0,0.2596,1
0.754,1,-0.1163,1
0.9778,1,0.0345,0
0.3894,0,0.3115,1
0.8099,1,-0.043,0
0.6299,1,0.1285,1
0.8498,1,-0.0081,0
0.4256,0,0.191,1
0.4647,0,0.2729,1
0.3019,0,-0.0784,1
0.7003,1,0.0191,1
0.2799,0,0.0066,1
0.4093,0,0.3,1
0.5158,1,-0.146,1
0.8211,1,-0.0564,0
0.6487,1,-0.1849,1
0.5369,1,-0.0994,1
0.0771,0,0.1028,0
0.0685,0,0.0292,0
0.3579,0,0.4379,1
0.0242,0,-0.0609,0
0.2251,0,-0.0638,1
0.9509,1,0.0153,0
0.2164,0,0.1161,1
0.7994,1,-0.2016,1
0.659,1,0.1441,1
0.1255,0,-0.0008,0
0.204,0,0.3156,1
0.03,0,0.2091,0
0.0302,0,0.1082,0
0.8874,1,0.0129,0
0.9797,1,-0.1079,0
0.9289,1,-0.066,0
0.3549,0,-0.0549,1
0.0737,0,-0.1457,0
0.7641,1,0.0223,1
0.285,0,0.1344,1
0.1946,0,-0.1751,0
0.4593,0,0.0646,1
0.0807,0,-0.0973,0
0.0247,0,0.226,0
0.5041,1,-0.4132,1
0.629,1,0.2264,1
0.6101,1,0.0201,1
0.0252,0,-0.3766,0
0.087,0,-0.0701,0
0.1857,0,0.1227,0
0.3339,0,-0.002,1
0.7285,1,-0.0724,1
