y,x,z,controls
1.7736,1.0978,1,-0.4422
-0.3336,-0.0076,0,-0.3955
-1.1355,-1.2523,0,0.357
0.8313,0.8965,1,-0.9464
-0.8149,-0.131,0,0.6307
0.7634,0.9632,1,-0.3779
-0.9592,-0.6652,1,-0.9028
0.318,0.5585,1,-1.8391
0.0479,-0.0288,0,-1.1021
-1.2884,-1.0426,0,-0.2066
1.5098,1.1122,1,-0.0924
-0.1932,-0.9508,0,-0.2842
-0.4856,0.3863,1,-1.4799
0.1454,0.5858,1,-0.2118
-2.0444,-0.8631,0,-1.553
-0.0769,0.2061,0,-1.2699
-0.332,0.6571,1,1.0851
1.2059,0.0413,0,-0.1351
0.2056,0.4584,0,0.422
-1.01,-0.6002,0,1.4002
-0.3018,0.8432,1,-0.0894
2.1058,2.6936,1,0.9286
-0.7758,-0.5146,0,0.3551
0.971,0.9203,1,-0.7516
-0.0328,0.1448,1,-0.1769
-0.7275,0.1201,1,-0.7839
-0.5844,-0.2013,0,0.5787
1.8784,1.5266,0,0.9643
-0.4385,-0.0907,1,-1.4001
0.4485,0.1994,0,-0.9123
1.3568,1.2136,1,-0.3908
0.2003,0.0765,1,-0.8485
1.3909,-0.0049,0,-0.2677
0.781,0.3763,0,0.3297
-0.1393,0.2967,0,1.2528
-0.3734,0.3916,1,-0.5389
-0.6248,-0.2209,0,-0.5856
0.4726,0.7594,1,0.3386
0.6573,1.1694,1,-0.0853
0.49,0.9422,1,-1.5928
-1.0422,-0.0539,1,-0.8968
-0.3038,0.1647,1,-0.3851
-0.2067,0.7945,1,0.7416
0.0012,0.8392,1,1.0734
0.9735,1.6918,1,-1.0981
-0.2254,0.2571,0,-0.8078
0.6036,-0.3482,0,0.8248
-0.1779,-0.031,0,-0.5003
0.6349,0.552,1,0.3185
-0.0074,0.3838,1,-0.23
0.6628,-0.1632,0,-0.0077
0.1625,0.6708,0,-0.4542
0.2957,0.3222,1,1.0765
-0.4221,0.2043,1,-1.5917
0.0952,0.51,1,-0.437
2.155,1.8263,1,0.9835
0.6117,1.1481,1,-0.2539
0.7131,1.0838,1,-0.157
0.7156,1.1024,1,0.9116
-0.0126,0.1221,1,0.4147
0.509,0.3585,1,0.7959
0.6119,0.4988,1,1.1467
-0.8703,0.2405,1,-1.4942
-0.1771,0.5832,1,-0.509
1.7599,1.336,1,-0.8763
0.5452,0.2903,0,0.2698
0.0071,0.8012,1,0.9843
1.0327,0.9945,1,-2.5569
-0.3209,-0.5122,0,-1.6402
2.3315,1.1341,1,-2.131
0.4455,0.0807,0,-0.9239
0.3303,0.3563,1,-0.0331
-0.5831,-0.6938,0,1.5394
0.0099,-0.3516,0,-1.3904
-1.6799,-0.5081,1,2.3088
0.2353,0.127,0,0.4373
2.0695,1.6047,1,0.4739
1.0868,0.7174,0,0.6258
0.2434,0.1772,0,-1.5038
-0.2304,-0.0823,0,-0.6823
-0.5386,-0.5981,0,-1.1146
0.2715,-0.1172,1,0.5512
-1.0816,-0.305,1,-1.0021
0.1223,0.2495,1,-0.3123
-0.88,-0.6509,0,-0.7653
-0.5744,-0.4781,0,1.3289
0.2631,0.033,0,-0.7091
0.3498,0.0591,0,-1.2012
-1.2182,-1.3104,0,0.3804
-0.1971,0.2417,1,-0.1636
0.2423,-0.0177,0,1.3028
1.2474,1.2764,0,0.2064
0.2757,0.5766,1,0.173
2.1731,1.2987,0,0.778
1.1777,0.3214,0,0.3598
0.3219,0.581,0,0.692
1.6424,0.8434,1,0.6082
-0.3128,-0.491,0,-0.4279
-0.9053,-0.1901,0,-1.3009
0.7166,0.3091,0,-0.2769
0.8055,0.6409,1,-2.1063
1.022,0.3537,0,-0.8368
0.9048,1.0901,0,-0.4946
1.9868,2.2185,1,1.1983
-0.9725,-0.0028,1,-0.2509
-0.0793,0.4818,1,1.6546
-0.0447,0.0911,0,0.3722
1.7869,1.3011,1,-1.7288
0.1929,0.2391,0,1.0484
0.3905,0.4501,0,0.9445
-0.3586,-0.0431,0,-1.7757
0.5298,0.7396,1,0.6277
0.3977,0.3821,0,1.3464
0.7061,1.1712,1,-2.2408
0.0685,0.1172,0,-1.1749
0.366,0.0484,0,0.8531
0.3141,0.3785,1,-0.2733
0.488,0.2609,0,1.3874
0.2398,-0.4055,0,0.8572
0.9064,1.0291,1,0.7452
-0.4198,-0.028,1,1.0841
1.5475,0.8612,1,-0.9023
1.0319,0.9996,0,-0.393
-1.2711,-0.3163,0,1.863
0.3568,0.1924,0,-0.4334
-0.04,-0.4132,0,1.0113
-0.3331,0.3891,1,-0.2808
0.4793,-0.2438,0,-0.8491
-0.3949,0.1395,0,-1.0699
0.6076,0.3693,0,0.4703
0.006,-0.3117,0,1.2214
0.7298,0.4163,0,0.4067
-0.0085,0.6036,0,0.1719
-0.3994,-0.7494,0,-1.2306
0.6051,-0.0516,0,-0.0811
-0.8522,0.1928,1,0.0984
0.6441,0.9757,1,-0.9618
1.7357,1.3783,1,0.3523
-0.0344,-0.0118,0,-0.7707
-0.5792,-0.4936,0,-0.4741
0.1285,1.3542,1,0.6921
