running_var,treated,y,near_cutoff
0.5944,1,0.1673,1
0.7056,1,0.4972,1
0.8023,1,0.417,0
0.4092,0,0.1362,1
0.6947,1,0.4512,1
0.8036,1,0.4148,0
0.92,1,0.5784,0
0.9751,1,0.4284,0
0.5674,1,0.1891,1
0.7425,1,0.3517,1
0.8481,1,0.3901,0
0.15,0,0.0795,0
0.3207,0,-0.075,1
0.3046,0,0.2301,1
0.7395,1,0.6203,1
0.2564,0,0.0329,1
0.4972,0,0.2338,1
0.1436,0,0.3575,0
0.7101,1,0.4375,1
0.5585,1,0.1786,1
0.9084,1,0.4232,0
0.3578,0,0.01,1
0.9022,1,0.5045,0
0.8225,1,0.6262,0
0.6553,1,0.1299,1
0.6858,1,0.6068,1
0.3165,0,0.1328,1
0.9259,1,0.5834,0
0.6664,1,0.4647,1
0.5405,1,0.2675,1
0.6061,1,0.4541,1
0.1215,0,0.1902,0
0.6447,1,0.5776,1
0.4878,0,0.3138,1
0.4885,0,0.0727,1
0.3739,0,0.3112,1
0.5823,1,0.5335,1
0.8806,1,0.6032,0
0.387,0,-0.0609,1
0.5038,1,0.2719,1
0.5743,1,0.3942,1
0.4348,0,0.2595,1
0.9107,1,0.2567,0
0.1371,0,-0.129,0
0.5412,1,0.3787,1
0.3017,0,-0.0692,1
0.775,1,0.3761,1
0.1486,0,0.028,0
0.032,0,-0.2929,0
0.1573,0,0.0815,0
0.8571,1,0.4302,0
0.8928,1,0.2351,0
0.3382,0,0.0111,1
0.9021,1,0.5843,0
0.0825,0,-0.0307,0
0.7548,1,0.4241,1
0.1125,0,0.0708,0
0.0761,0,-0.2638,0
0.9259,1,0.687,0
0.6296,1,0.4535,1
0.7643,1,0.4877,1
0.3576,0,0.2001,1
0.8136,1,0.428,0
0.6918,1,0.4014,1
0.0433,0,0.3514,0
0.9345,1,0.2614,0
0.0395,0,0.1012,0
0.8009,1,0.2815,0
0.9049,1,0.6784,0
0.7296,1,0.4297,1
0.3402,0,-0.1104,1
0.6004,1,0.4577,1
0.1266,0,0.1958,0
0.4416,0,0.1821,1
0.3036,0,0.2222,1
0.2609,0,0.2911,1
0.7789,1,0.5508,1
0.5011,1,0.2849,1
0.8615,1,0.6613,0
0.8538,1,0.5254,0
0.3657,0,0.0355,1
0.1518,0,0.1112,0
0.389,0,0.177,1
0.191,0,0.0774,0
0.8991,1,0.2691,0
0.2807,0,0.263,1
0.9432,1,0.5959,0
0.1064,0,-0.0569,0
0.2731,0,0.1579,1
0.3305,0,0.1501,1
0.1354,0,-0.1928,0
0.7799,1,0.4221,1
0.0583,0,0.0658,0
0.9483,1,0.7327,0
0.1666,0,0.0644,0
0.1335,0,0.2954,0
0.7133,1,0.3742,1
0.1106,0,0.0022,0
0.651,1,0.1502,1
0.5288,1,0.3516,1
0.2875,0,0.0291,1
0.7635,1,0.3474,1
0.7872,1,0.3599,1
0.01,0,-0.1384,0
0.461,0,0.0043,1
0.9081,1,0.4758,0
0.435,0,0.2254,1
0.695,1,0.6162,1
0.4845,0,0.2036,1
0.1728,0,-0.1838,0
0.6242,1,0.4348,1
0.0943,0,0.2285,0
0.9849,1,0.539,0
0.3725,0,0.2961,1
0.1497,0,-0.0034,0
0.6214,1,0.3011,1
0.6808,1,0.3254,1
0.9458,1,0.5626,0
0.4939,0,0.0128,1
0.0829,0,-0.0191,0
0.172,0,0.1112,0
0.2474,0,0.2763,1
0.2631,0,-0.0459,1
0.0948,0,0.2428,0
0.1088,0,0.257,0
0.177,0,-0.1058,0
0.0969,0,-0.0412,0
0.8637,1,0.375,0
0.7035,1,0.2629,1
0.6405,1,0.4311,1
0.605,1,0.5119,1
0.3061,0,0.1031,1
0.2382,0,0.0641,1
0.354,0,0.3476,1
0.2905,0,0.0108,1
0.0928,0,0.0488,0
0.6965,1,0.3947,1
0.2,0,-0.0454,1
0.4023,0,0.0032,1
0.4246,0,0.1757,1
0.8912,1,0.7094,0
0.5274,1,0.426,1
0.8856,1,0.3142,0
0.4467,0,0.0306,1
0.7433,1,0.4531,1
0.4092,0,0.0253,1
0.4322,0,0.1804,1
0.7317,1,0.5025,1
0.1825,0,0.002,0
0.1755,0,-0.2779,0
0.1703,0,0.0458,0
0.289,0,0.2365,1
0.0614,0,0.0805,0
0.0563,0,0.2518,0
0.907,1,0.5886,0
0.6768,1,0.3297,1
0.6497,1,0.3123,1
0.9367,1,0.4413,0
0.7509,1,0.367,1
0.3795,0,0.1442,1
0.1819,0,-0.1174,0
0.6274,1,0.279,1
0.5144,1,0.308,1
0.6874,1,0.4093,1
0.0297,0,0.1281,0
0.889,1,0.3991,0
0.2963,0,-0.2305,1
0.1258,0,0.1871,0
0.3999,0,0.0808,1
0.1457,0,0.0104,0
0.1911,0,0.1731,0
0.3784,0,0.2786,1
0.9246,1,0.5402,0
0.3082,0,0.0962,1
0.0495,0,-0.0222,0
0.1302,0,-0.115,0
0.1121,0,0.0725,0
0.9239,1,0.3011,0
0.9244,1,0.4717,0
0.8954,1,0.7538,0
0.8713,1,0.2495,0
0.7346,1,0.4836,1
0.8519,1,0.3965,0
0.274,0,-0.032,1
0.677,1,0.3308,1
0.4895,0,0.1634,1
0.1607,0,0.3954,0
0.7252,1,0.541,1
0.6447,1,0.487,1
0.1907,0,-0.0211,0
0.9194,1,0.3171,0
0.0799,0,-0.0869,0
0.7594,1,0.6147,1
0.5879,1,0.2998,1
0.3554,0,0.1438,1
0.2038,0,0.0683,1
0.7967,1,0.4616,1
0.9393,1,0.4664,0
0.1888,0,0.1333,0
0.4301,0,0.0193,1
0.8063,1,0.5378,0
0.4711,0,0.4455,1
0.0898,0,0.0333,0
0.893,1,0.4199,0
0.139,0,0.0199,0
0.8406,1,0.5673,0
0.2444,0,-0.1051,1
0.14,0,0.2271,0
0.4075,0,0.1406,1
0.8037,1,0.4976,0
0.8986,1,0.4566,0
0.1158,0,0.0366,0
0.0747,0,-0.1116,0
0.2346,0,-0.0641,1
0.683,1,0.2192,1
0.4084,0,-0.0888,1
0.8564,1,0.6428,0
0.5347,1,0.3386,1
0.1153,0,0.0927,0
0.1544,0,0.1077,0
0.783,1,0.4558,1
0.7409,1,0.5321,1
0.1304,0,0.2415,0
0.2428,0,0.0931,1
0.9398,1,0.3815,0
0.1172,0,0.216,0
0.7628,1,0.2132,1
0.2916,0,0.1866,1
0.3403,0,0.1248,1
0.1305,0,0.1362,0
0.1749,0,-0.1088,0
0.8816,1,0.5679,0
0.1544,0,0.0016,0
0.7837,1,0.3538,1
0.0149,0,0.2372,0
0.2101,0,0.2171,1
0.845,1,0.5237,0
0.7833,1,0.4785,1
0.9707,1,0.3692,0
0.1689,0,-0.0618,0
0.6541,1,0.4775,1
0.4773,0,-0.0302,1
0.4969,0,0.3155,1
0.6935,1,0.5955,1
0.7452,1,0.5831,1
0.484,0,0.2384,1
0.5058,1,0.2208,1
0.793,1,0.3005,1
0.5281,1,0.5557,1
0.4854,0,0.2041,1
0.7918,1,0.5494,1
0.2997,0,0.2807,1
0.7843,1,0.7437,1
0.8725,1,0.3417,0
0.4132,0,0.3159,1
0.1646,0,-0.1955,0
0.5333,1,0.3142,1
0.1914,0,-0.1198,0
0.4234,0,0.2059,1
0.5891,1,0.6452,1
0.8958,1,0.3627,0
0.3145,0,-0.1611,1
0.8157,1,0.2987,0
0.9183,1,0.2952,0
0.8203,1,0.0705,0
0.1155,0,0.1127,0
0.5608,1,0.421,1
0.2532,0,-0.0124,1
0.154,0,0.1174,0
0.968,1,0.5893,0
0.4581,0,0.3739,1
0.2234,0,0.113,1
0.2348,0,-0.0848,1
0.7414,1,0.5342,1
0.8467,1,0.3033,0
0.2608,0,0.1304,1
0.0297,0,0.2571,0
0.7454,1,0.4603,1
0.1248,0,0.1464,0
0.5478,1,0.1396,1
0.6351,1,0.5933,1
0.1846,0,-0.3468,0
0.5077,1,0.6138,1
0.1805,0,0.3675,0
0.9432,1,0.4404,0
0.812,1,0.3757,0
0.7399,1,0.402,1
0.8765,1,0.6393,0
0.6184,1,0.1504,1
0.7333,1,0.3891,1
0.4981,0,0.2015,1
0.1703,0,0.2914,0
0.9801,1,0.3467,0
0.8963,1,0.5586,0
0.3596,0,0.149,1
0.2777,0,0.236,1
0.9756,1,0.635,0
0.3847,0,0.0208,1
0.6197,1,0.8474,1
0.4244,0,0.3555,1
0.3105,0,-0.0702,1
0.3769,0,0.0071,1
0.612,1,0.4967,1
0.405,0,0.05,1
0.7696,1,0.4109,1
0.8304,1,0.7083,0
0.5415,1,0.535,1
0.0161,0,-0.046,0
0.8956,1,0.4356,0
0.3503,0,-0.2016,1
0.6185,1,0.4545,1
0.6995,1,0.0898,1
0.9978,1,0.3444,0
0.5085,1,0.1719,1
0.2148,0,0.2199,1
0.9054,1,0.5227,0
0.1315,0,0.1307,0
0.9101,1,0.2643,0
0.334,0,0.2951,1
0.6746,1,0.4083,1
0.479,0,-0.0455,1
0.6756,1,0.3408,1
