y,x,z,controls
-0.1677,-0.1319,0,1.2676
1.0292,0.708,0,-0.882
0.1937,1.1326,1,-0.5251
-0.4724,0.238,1,-0.8178
0.4748,0.3501,0,-1.7332
0.1904,1.3585,1,-1.0339
1.2573,0.937,0,-0.0058
-0.6525,0.3914,1,-0.3853
-0.2734,0.3774,1,1.0733
0.3704,0.378,0,-0.6186
-0.1823,0.1429,0,-0.012
-0.516,-0.2156,1,-0.544
0.8932,0.7901,0,0.934
0.7761,1.3377,1,-1.4331
0.1692,0.2507,0,0.4777
-0.7611,-0.4342,1,0.4049
-0.1883,0.2175,0,-0.8213
-0.1501,-0.0701,1,-0.0993
-0.5073,0.6731,1,0.387
0.2877,0.477,0,-0.6918
0.1781,0.451,0,-0.7127
0.4322,1.0484,0,-1.2297
0.5902,0.59,1,2.0223
-0.4328,0.0462,1,-0.4669
0.1011,0.7466,1,-1.226
-0.2608,0.2589,1,-1.7681
-0.1471,0.0401,1,-0.8028
-0.0305,0.6171,1,0.2669
-0.1182,0.3497,0,-0.2555
0.9056,1.4862,1,0.3506
-0.0242,-0.0686,0,0.7153
-1.0556,-0.7367,0,-0.1509
-0.7904,-0.9733,0,-0.1276
-0.3085,0.6824,1,1.5657
-0.0269,0.7804,1,0.7366
0.3813,1.2365,1,0.3845
-0.0341,-0.1363,0,-0.3431
0.1505,-0.2778,0,0.6754
0.2778,0.5294,0,0.3523
-1.0581,-0.7238,0,0.3147
-1.0677,-0.0881,1,0.7172
0.5397,0.5033,0,0.3261
-0.6047,0.9696,1,-1.5192
0.8263,0.7194,0,0.0547
0.3621,0.6719,0,-1.1151
-0.2227,0.3044,0,0.6333
-0.0578,0.0153,0,-1.5684
-0.6695,-0.3476,1,-0.0311
0.0357,0.594,1,0.0578
-1.1831,0.1679,1,-1.147
-0.7848,-0.5339,0,-0.0811
0.5171,0.5511,1,0.7677
-0.0727,-0.4885,0,-0.5567
-0.3298,0.1117,0,0.2895
0.2358,0.3538,1,0.5076
-0.5314,-0.516,0,-1.0674
-1.5274,-0.3401,0,0.0413
0.6985,0.4787,1,-0.2109
0.328,0.3893,1,-0.0148
0.0088,0.7882,1,-1.6041
0.0685,0.0415,1,-1.4074
-0.0673,0.117,0,1.2201
