y,x,z,controls
0.6794,0.1961,0,-1.9624
1.4609,0.9742,0,-0.2953
-1.5803,-1.0906,0,-1.0845
0.4529,0.8094,0,-1.0326
0.1509,0.6119,1,-1.3879
0.9094,0.7843,0,0.3911
-0.4741,-0.3539,0,-0.4493
-0.8259,-0.1343,1,0.5331
1.0593,0.5286,0,0.6577
-0.2271,-0.1541,0,-0.2781
0.8576,0.4977,0,0.654
-0.38,0.7013,1,0.0719
1.329,0.5836,0,-0.4809
1.0047,0.7973,0,0.9146
1.1832,1.1029,1,1.4744
-0.4465,0.1584,1,1.2566
1.416,1.8386,1,-1.7026
0.6772,0.4101,1,0.0627
-1.6685,-1.1262,0,1.3032
0.5669,0.6809,0,-1.2275
0.5613,0.2028,0,-0.0954
0.0914,0.4912,1,-0.751
-0.2332,-0.0342,0,0.2686
0.368,0.7577,1,2.921
0.0578,0.6046,1,-0.0091
0.8889,0.3871,0,-0.1679
0.3001,0.0751,0,2.2247
0.2482,-0.0114,1,0.1978
0.363,-0.0312,1,-0.628
-0.5929,-1.1221,0,-1.6512
-0.076,0.2828,1,1.0851
0.2247,0.6715,1,-1.1888
-0.4546,0.0462,0,-0.1991
0.6036,0.6319,0,0.4293
0.9352,1.7798,1,0.6341
0.3451,1.1058,1,-1.6444
-0.3059,0.358,1,-1.0812
-1.1591,-1.273,0,0.2187
0.8524,0.5075,1,-1.5871
0.3273,0.6903,1,0.6799
0.1882,0.5829,0,-1.3344
0.0935,0.1688,0,-0.2965
2.0028,1.2241,1,-0.5116
-0.2816,-0.5638,0,0.7879
1.2774,0.3826,0,-0.5275
1.1232,0.3564,0,0.7054
0.8345,1.1028,0,1.1457
0.2904,0.3715,1,-0.0455
-1.6317,-0.616,0,0.239
0.6184,0.8646,1,-0.7017
-0.2185,0.6786,1,-1.1125
-0.1481,-0.2381,0,-1.2919
0.2634,0.1892,1,0.0963
0.5553,-0.0131,0,-0.5784
-1.3338,-0.3889,1,0.4183
0.3653,0.38,0,-0.2988
0.7019,0.9006,1,-0.5067
-0.7743,-0.1086,1,-0.199
1.5562,0.7779,0,-2.133
0.9131,0.9424,0,0.9132
-1.3185,-0.7737,0,-0.3642
-0.2484,0.4672,1,-0.3977
-0.7436,-0.2135,0,1.5876
-0.7864,0.1716,1,-0.3236
0.0217,-0.0228,0,0.5829
0.4545,0.4236,1,-1.9731
-0.3534,-0.0586,0,-0.6401
-0.876,0.1801,0,1.1473
0.2795,0.9518,1,0.867
1.439,1.144,1,0.6692
-0.1404,-0.1243,1,-0.8136
0.9102,0.5829,1,0.2268
0.1092,0.1855,0,-0.393
0.5747,0.357,0,0.343
-0.1001,-0.0969,0,0.8819
0.389,0.781,1,0.1937
0.1528,0.585,1,1.048
-0.0366,0.1203,1,1.1089
0.1463,0.4658,1,-1.1863
-0.0915,0.1058,0,-1.9384
0.2705,0.7956,1,1.0284
-0.4826,0.0356,1,0.08
0.6699,0.2583,0,1.4103
-1.0802,-1.1547,0,0.346
1.2026,1.1398,1,1.593
0.1236,0.3742,1,0.7656
-0.4635,-0.0955,1,0.3924
-1.0276,0.1801,1,-0.3995
1.0635,1.1882,1,-0.5243
0.6592,0.6629,1,-1.781
0.8485,0.5149,1,0.6281
0.7503,0.6247,1,-0.8295
-0.4312,0.4141,1,-0.2746
0.4165,0.1536,0,-0.0418
0.1755,0.8253,1,-0.5549
-0.7391,-0.4347,0,0.1788
-1.0777,0.0673,1,-2.4501
-0.7343,-0.5243,0,0.0222
0.0168,-0.1293,0,0.6592
0.6228,0.682,0,-1.7818
-1.1355,-0.2672,1,-0.7094
-0.1817,-0.2995,0,1.398
0.5339,0.1005,0,-0.1003
0.45,0.5702,1,-0.7264
0.2197,0.5651,1,0.7641
-0.1011,-0.0336,1,-1.1532
-0.1536,-0.023,1,-1.0631
0.7362,0.7761,1,-0.9695
0.4006,0.2426,1,1.4034
0.5528,-0.6868,0,-1.0578
1.2196,0.5145,0,-0.0803
1.567,1.5599,1,1.1688
0.6481,0.8202,0,-1.039
0.2654,0.5446,0,-1.807
0.1968,0.8699,1,2.1636
-0.639,0.2065,0,0.132
-0.7398,-0.2863,1,-0.6646
0.5242,1.1732,1,-0.1666
0.2207,0.6858,1,0.7635
0.7349,0.3731,0,-1.6004
0.5219,0.4519,1,-0.4874
-0.8951,0.1826,1,0.819
0.9299,0.7415,1,1.5063
1.023,0.6556,0,1.4962
-0.0505,0.0572,1,0.1103
