y,x,z,controls
0.7306,0.2669,0,0.1671
1.3769,1.4274,1,-1.1214
-1.83,-0.8319,1,0.0729
-0.9975,-0.7221,0,0.723
-0.7217,-0.1868,0,-1.0414
0.7413,0.8609,1,0.9342
-0.7363,-0.2447,1,-0.1115
-0.3347,-0.5214,0,-0.2115
-0.2556,0.2122,0,-0.9309
-0.2722,-0.2453,0,0.3513
0.4025,0.013,0,0.683
-0.2236,0.1051,0,-1.0707
1.3634,1.4207,1,0.5165
-0.2016,0.0776,1,0.8957
0.4557,0.6039,1,0.8415
-0.2999,0.4387,1,0.2298
-0.4387,-0.3538,0,-0.3224
-0.2097,0.2743,0,-0.2634
-0.4672,0.3185,1,-1.3933
-1.0797,-0.4516,0,-0.6291
0.0939,0.1972,1,-0.2925
-0.3552,0.031,0,-0.8084
1.2557,0.7963,0,0.1463
-0.6045,-0.3946,0,1.4917
-0.2501,0.4764,1,1.6703
0.4503,0.2881,0,-0.5851
0.0461,0.1877,0,1.7607
1.1748,1.2712,1,1.1311
1.37,0.3781,1,-0.6969
0.6664,-0.0333,0,0.4975
0.443,0.8753,1,-0.0225
0.6814,0.8536,0,-2.0612
0.7581,1.1042,1,-1.279
0.556,0.6726,0,0.7084
0.8606,0.1294,0,-1.554
-0.2422,-0.0267,0,1.8023
-0.491,-0.7578,0,1.0008
0.6509,0.8462,1,0.6825
-0.3606,-0.189,0,-1.5591
-0.9085,0.0574,0,1.0458
1.7064,1.3923,1,0.9605
-0.5158,-0.4794,0,0.9001
-0.5622,0.173,1,0.9402
1.3908,0.5317,0,1.7446
-0.1633,0.9429,1,-0.7283
0.8766,0.879,1,-0.1975
-0.3094,0.1907,0,-0.8823
0.1907,-0.1194,0,0.7809
0.5643,1.3432,1,-0.2414
0.6775,0.2405,1,-1.3365
-0.3163,0.0497,1,0.0752
0.1287,1.004,1,-2.0068
1.0687,1.5423,1,0.0723
-0.6699,-0.5755,0,0.121
1.9893,1.3896,1,-0.4457
1.4298,0.1132,0,1.0047
-0.0512,0.9588,1,-1.8112
1.4045,1.5209,1,0.0942
0.2933,0.9191,1,0.196
-0.7105,-0.2656,0,-0.0447
1.1063,0.846,1,1.2301
-0.399,-0.2543,0,-0.6445
0.9571,0.8903,1,-0.0954
0.3163,0.8635,1,0.107
-0.5909,-0.2641,0,-0.3929
-0.1797,0.3388,0,-1.571
0.6036,1.0853,1,1.5145
-0.1015,0.4343,1,-0.7843
0.1768,0.6196,1,-0.7653
-1.4256,-1.0239,1,-2.244
0.2146,0.4935,1,0.0568
-0.9478,-0.6121,0,0.1737
0.0124,0.4603,1,1.2542
0.3805,0.1033,0,-0.3754
0.7239,0.8928,1,0.2536
-0.0233,0.6225,1,1.0011
0.6028,0.8215,1,1.382
0.8156,0.7646,1,0.3736
0.8428,0.6912,1,-0.3506
1.4019,1.6767,1,1.2037
-1.938,-0.8466,1,1.2294
-1.1357,-0.6922,0,-1.7323
0.1946,0.5036,0,0.3499
0.0866,0.3711,1,0.9786
-0.7129,-0.1673,0,0.7222
-0.0851,-0.0631,0,-0.2699
0.7649,0.3642,0,-0.479
-0.3419,0.4999,1,1.3781
-0.554,-0.6906,0,0.2457
-1.546,-0.5983,0,-0.1828
0.521,0.8205,1,-0.1404
0.3792,0.4975,1,-0.0006
-0.4051,-0.1455,0,-0.1501
-0.4681,-0.3127,0,1.1526
0.1274,0.5434,1,0.4383
1.2178,1.2742,1,0.3707
0.1645,0.1782,0,-0.1995
-0.8283,-0.6999,1,0.579
0.7841,0.7158,1,-0.9018
0.5261,0.5603,1,0.1785
-0.6267,-0.4626,0,-1.6245
1.0298,1.0227,1,-0.2477
-0.569,-0.8276,0,-0.52
0.9463,1.0945,0,-0.0285
0.4025,0.5629,1,-0.4149
-1.4862,-0.3756,1,0.5173
-0.3914,-0.1343,0,-0.6816
-0.3803,0.067,1,0.8692
-0.0539,0.5949,1,1.5552
-1.6323,-0.143,1,-1.0821
0.3004,0.4107,0,0.6193
-1.4207,-0.8719,0,-0.2687
0.1981,0.5699,1,0.9334
-1.459,-0.2961,1,-1.0848
-0.5669,0.5618,1,1.2064
1.1122,0.796,1,-0.3741
1.3129,1.3864,1,-0.2212
-0.8653,-0.5623,0,-0.2196
0.3027,0.0373,0,-1.1181
-1.1273,-0.8015,0,0.7879
1.1007,0.8672,1,-0.597
0.9893,0.6198,1,0.4963
-0.1943,0.4374,1,-0.2587
-0.2792,0.5057,0,-0.2111
-2.0748,-1.7307,0,1.0029
0.4811,0.2305,0,-1.5012
0.7967,0.2544,0,-2.2945
0.3711,-0.0289,0,-0.7044
0.214,-0.1774,0,-0.0995
-1.6984,-0.6865,0,-0.2468
0.3967,0.5812,1,-0.76
-0.5331,-0.2491,0,1.6734
1.0422,1.3738,0,1.2546
1.0763,0.3713,0,-2.6652
0.5053,0.5509,1,-0.6731
0.4698,0.7377,1,0.3857
-1.0158,-0.6667,0,0.3254
-0.6327,-0.546,0,-0.8091
1.7363,1.3522,1,1.3249
0.1288,0.4387,1,-0.9138
0.6085,0.8707,1,-0.0281
0.3581,0.598,1,-0.077
-0.3031,0.163,1,0.2429
-0.0286,0.4225,1,-0.5756
1.0957,1.5218,1,0.4849
0.4201,1.0237,1,-0.8371
0.1715,-0.6593,0,0.3333
0.0536,0.5215,1,-0.5746
0.0949,0.1058,0,1.3928
1.0022,0.4444,0,-0.2468
1.22,1.5174,1,0.1726
1.1676,1.5631,1,1.0864
-2.2766,-1.0473,1,0.2113
-1.6357,-0.6132,0,0.8032
1.6713,1.084,1,-1.2051
-0.3468,0.2004,1,0.5524
-0.5773,-0.0879,0,-0.2002
-0.8425,-0.4383,0,0.8568
-1.0511,-0.3566,1,0.4828
-0.8624,-0.5793,0,0.5244
-0.4376,-0.0721,0,0.7024
0.1681,0.3166,1,1.028
-0.5193,-0.5009,0,-2.0626
1.1252,1.175,1,-0.7762
0.3748,0.6355,1,-0.0178
0.0461,0.5148,0,-1.1747
0.375,0.3996,0,-0.2387
-0.3718,0.4672,1,0.1985
-0.2042,0.1643,1,1.5818
-0.3187,0.267,1,0.7246
1.2781,1.4697,1,0.7226
0.168,0.0681,1,0.0542
0.7133,0.5925,0,-1.7264
0.2871,0.1369,0,-0.7225
1.2307,0.5062,0,-1.6297
-0.0916,-0.3357,0,0.5638
-0.9899,-0.5947,0,0.1016
1.8471,1.8553,1,0.2116
1.1771,0.1644,0,0.5037
-1.429,-0.8523,0,-0.4652
-0.032,0.6018,1,-1.3015
0.6881,1.3277,1,-0.434
-0.3151,-0.0754,0,0.4571
-0.9106,0.2443,1,-1.7105
-0.054,-0.0594,0,0.2
0.266,-0.3849,0,-1.2017
-0.034,0.0945,1,0.5915
1.3919,1.481,1,-1.2759
-1.1036,-0.0256,1,0.7849
0.5869,1.2956,1,-1.3969
1.9741,2.0359,1,-0.9489
1.3984,0.7191,1,0.6773
1.3606,0.932,1,-0.1756
0.013,0.2701,0,-1.9666
0.0876,0.4204,0,0.707
0.222,0.397,1,-2.117
-0.7843,-0.6337,0,-0.1778
0.6672,0.6948,1,2.0741
-0.488,0.1836,1,0.0815
0.9362,1.251,1,-0.3484
0.7695,-0.0529,0,-0.0722
-0.4506,0.3035,1,-1.0922
1.389,1.326,1,0.1726
1.7482,1.8989,1,2.1687
1.0536,0.606,0,-0.4253
-1.2044,-1.019,1,-0.8112
2.2631,1.883,1,0.4741
-1.9137,-1.2218,0,0.7446
-1.252,-0.0837,1,0.1038
-1.5766,-1.3553,0,-0.3091
-0.2583,-0.1429,1,0.5551
-1.6204,-0.7935,0,-1.4664
-1.7723,-1.3908,0,-0.4885
-0.7501,-0.9877,0,-2.3117
-0.7962,-0.6844,0,-0.1075
-0.106,0.3952,1,-0.2135
0.0916,0.5697,0,1.051
1.1393,0.739,0,-0.8539
-0.1644,0.4043,1,1.0385
0.4691,0.7385,1,-0.2096
-0.0702,0.0725,0,0.6395
0.5324,0.7395,0,0.7717
1.2261,0.9664,0,0.0479
-0.1799,0.2205,0,0.2745
-1.2182,-0.0656,1,-0.5756
-0.3056,0.5096,1,1.1987
-0.9722,-0.8851,0,2.6945
0.2949,0.5353,1,-1.4581
-0.0835,0.1897,1,0.0682
-0.1891,0.2932,1,-0.2887
-0.6227,-0.1786,1,0.4465
-0.0335,0.4658,1,-1.612
0.5971,-0.0427,0,-1.0552
1.2862,0.6328,0,1.726
-0.0404,0.4982,1,1.4644
0.3396,0.6041,1,-1.6015
0.1986,-0.0954,0,1.9713
-1.2095,-0.2726,0,-0.7434
-0.2662,-0.3267,0,0.8372
-1.355,-0.0467,1,-0.1087
0.2707,0.7833,1,0.2624
0.9905,1.5994,1,0.1577
-0.3188,-0.0836,0,0.9685
0.27,1.0603,1,-0.4898
