unit_id,period,treated,post,treat_x_post,y
0,1,1,0,0,0.0714
1,1,1,0,0,1.1954
2,1,1,0,0,-0.7364
3,1,1,0,0,0.3802
4,1,1,0,0,0.0684
5,1,1,0,0,1.1527
6,1,1,0,0,1.0834
7,1,1,0,0,0.2106
8,1,1,0,0,0.1312
9,1,1,0,0,0.7386
10,1,1,0,0,0.1041
11,1,1,0,0,0.7895
12,1,1,0,0,0.1954
13,1,1,0,0,0.8424
14,1,1,0,0,0.8392
15,1,1,0,0,0.9393
16,1,1,0,0,-0.0606
17,1,1,0,0,1.2493
18,1,1,0,0,0.0457
19,1,1,0,0,0.578
20,1,1,0,0,0.9946
21,1,1,0,0,0.4164
22,1,1,0,0,0.6444
23,1,1,0,0,0.8732
24,1,1,0,0,0.7375
25,1,1,0,0,0.9024
26,1,1,0,0,-0.097
27,1,1,0,0,0.0394
28,1,1,0,0,1.1649
29,1,1,0,0,0.7244
30,1,1,0,0,-0.1723
31,1,1,0,0,0.8419
32,1,1,0,0,1.11
33,1,1,0,0,0.1642
34,1,1,0,0,0.6617
35,1,1,0,0,-0.4493
36,1,1,0,0,0.4727
37,1,1,0,0,0.888
38,1,1,0,0,0.4511
39,1,1,0,0,0.533
40,1,1,0,0,0.3061
41,1,1,0,0,0.2002
42,1,1,0,0,0.3847
43,1,1,0,0,0.3654
44,1,1,0,0,0.8675
45,1,1,0,0,0.6504
46,1,1,0,0,0.3332
47,1,1,0,0,-0.7298
48,1,1,0,0,-0.3954
49,1,1,0,0,0.1672
50,1,1,0,0,1.0362
51,1,1,0,0,0.7619
52,1,1,0,0,0.1172
53,1,1,0,0,0.0455
54,1,1,0,0,-0.1116
55,1,1,0,0,0.7492
56,1,1,0,0,-0.4013
57,1,1,0,0,0.2569
58,1,1,0,0,0.5807
59,1,1,0,0,0.8609
60,1,1,0,0,0.2826
61,1,1,0,0,1.2456
62,1,1,0,0,0.929
63,1,1,0,0,0.3446
64,1,1,0,0,-0.1552
65,1,1,0,0,-0.3053
66,1,1,0,0,0.5794
67,1,1,0,0,-0.449
68,1,1,0,0,1.0131
69,1,1,0,0,2.556
70,1,1,0,0,0.1296
71,1,1,0,0,-0.0058
72,1,1,0,0,0.0484
73,1,1,0,0,0.246
74,1,1,0,0,0.8983
75,1,1,0,0,-0.0654
76,1,1,0,0,-0.2456
77,1,1,0,0,1.3678
78,1,1,0,0,1.0305
79,1,1,0,0,-0.2423
80,1,1,0,0,-0.1521
81,1,1,0,0,0.7278
82,1,1,0,0,0.3001
83,1,1,0,0,0.9719
84,1,1,0,0,0.4326
85,1,1,0,0,0.5266
86,1,1,0,0,-0.2493
87,1,1,0,0,0.2029
88,1,1,0,0,1.0537
89,1,1,0,0,0.6073
90,1,1,0,0,1.0015
91,1,1,0,0,0.9299
92,1,1,0,0,1.3965
93,1,1,0,0,-0.0573
94,1,1,0,0,0.915
95,1,1,0,0,0.9273
96,1,1,0,0,1.1158
97,1,1,0,0,-0.2795
98,1,1,0,0,0.4957
99,1,1,0,0,0.4167
100,1,0,0,0,0.805
101,1,0,0,0,0.3491
102,1,0,0,0,-0.6394
103,1,0,0,0,-0.8624
104,1,0,0,0,-0.4305
105,1,0,0,0,-0.3884
106,1,0,0,0,-0.2329
107,1,0,0,0,0.4031
108,1,0,0,0,0.8301
109,1,0,0,0,-0.3943
110,1,0,0,0,0.0541
111,1,0,0,0,-0.4892
112,1,0,0,0,0.1413
113,1,0,0,0,1.6937
114,1,0,0,0,-0.3997
115,1,0,0,0,-0.7344
116,1,0,0,0,0.6976
117,1,0,0,0,-0.5458
118,1,0,0,0,-0.7255
119,1,0,0,0,-0.5834
120,1,0,0,0,-0.3102
121,1,0,0,0,-1.2608
122,1,0,0,0,-0.0049
123,1,0,0,0,0.5894
124,1,0,0,0,0.2857
125,1,0,0,0,0.0603
126,1,0,0,0,0.0252
127,1,0,0,0,0.3151
128,1,0,0,0,-0.0576
129,1,0,0,0,-0.7276
130,1,0,0,0,-0.2046
131,1,0,0,0,-0.208
132,1,0,0,0,0.6478
133,1,0,0,0,0.2225
134,1,0,0,0,0.016
135,1,0,0,0,-0.0582
136,1,0,0,0,1.0174
137,1,0,0,0,0.6649
138,1,0,0,0,-0.7851
139,1,0,0,0,0.4887
140,1,0,0,0,-0.7282
141,1,0,0,0,0.5054
142,1,0,0,0,-0.5689
143,1,0,0,0,0.1053
144,1,0,0,0,-0.1394
145,1,0,0,0,0.0007
146,1,0,0,0,-0.8419
147,1,0,0,0,0.0172
148,1,0,0,0,-0.0972
149,1,0,0,0,-0.363
150,1,0,0,0,-0.2487
151,1,0,0,0,0.0949
152,1,0,0,0,-0.5448
153,1,0,0,0,0.5497
154,1,0,0,0,1.041
155,1,0,0,0,0.5728
156,1,0,0,0,0.7427
157,1,0,0,0,0.1001
158,1,0,0,0,-0.3287
159,1,0,0,0,-0.2923
160,1,0,0,0,0.1394
161,1,0,0,0,0.7268
162,1,0,0,0,0.9116
163,1,0,0,0,-0.5051
164,1,0,0,0,-0.6107
165,1,0,0,0,0.7721
166,1,0,0,0,-0.7165
167,1,0,0,0,-0.5984
168,1,0,0,0,-0.0453
169,1,0,0,0,0.651
170,1,0,0,0,-0.5352
171,1,0,0,0,0.2286
172,1,0,0,0,-0.5468
173,1,0,0,0,0.1181
174,1,0,0,0,0.2635
175,1,0,0,0,0.5338
176,1,0,0,0,0.2356
177,1,0,0,0,0.437
178,1,0,0,0,0.2055
179,1,0,0,0,-0.3328
180,1,0,0,0,0.1459
181,1,0,0,0,-0.2293
182,1,0,0,0,0.7032
183,1,0,0,0,-0.6342
184,1,0,0,0,0.4829
185,1,0,0,0,0.6679
186,1,0,0,0,0.6779
187,1,0,0,0,1.3301
188,1,0,0,0,-1.0633
189,1,0,0,0,0.2524
190,1,0,0,0,0.6871
191,1,0,0,0,-1.1065
192,1,0,0,0,-0.8775
193,1,0,0,0,0.394
194,1,0,0,0,-0.6235
195,1,0,0,0,-0.6659
196,1,0,0,0,0.0882
197,1,0,0,0,0.2797
198,1,0,0,0,0.3426
199,1,0,0,0,-0.1933
0,2,1,0,0,0.5445
1,2,1,0,0,0.5493
2,2,1,0,0,0.5234
3,2,1,0,0,0.8795
4,2,1,0,0,-0.7462
5,2,1,0,0,-1.1115
6,2,1,0,0,0.6712
7,2,1,0,0,0.5134
8,2,1,0,0,1.4906
9,2,1,0,0,1.1561
10,2,1,0,0,0.1089
11,2,1,0,0,-0.4186
12,2,1,0,0,0.0546
13,2,1,0,0,1.6015
14,2,1,0,0,0.2818
15,2,1,0,0,0.4252
16,2,1,0,0,-0.4548
17,2,1,0,0,0.476
18,2,1,0,0,-0.195
19,2,1,0,0,0.5177
20,2,1,0,0,0.6076
21,2,1,0,0,1.2689
22,2,1,0,0,-0.3413
23,2,1,0,0,0.6544
24,2,1,0,0,1.0261
25,2,1,0,0,0.635
26,2,1,0,0,2.1238
27,2,1,0,0,0.6009
28,2,1,0,0,0.4
29,2,1,0,0,0.587
30,2,1,0,0,0.1775
31,2,1,0,0,-1.0134
32,2,1,0,0,-0.0646
33,2,1,0,0,1.3807
34,2,1,0,0,0.3508
35,2,1,0,0,0.4008
36,2,1,0,0,0.5074
37,2,1,0,0,0.5161
38,2,1,0,0,0.2482
39,2,1,0,0,1.8007
40,2,1,0,0,1.2835
41,2,1,0,0,0.8178
42,2,1,0,0,0.3978
43,2,1,0,0,0.4813
44,2,1,0,0,0.5773
45,2,1,0,0,1.0089
46,2,1,0,0,0.6411
47,2,1,0,0,0.8752
48,2,1,0,0,-0.2172
49,2,1,0,0,-0.8448
50,2,1,0,0,1.3568
51,2,1,0,0,-0.4671
52,2,1,0,0,-0.6611
53,2,1,0,0,1.4436
54,2,1,0,0,0.5647
55,2,1,0,0,-0.1169
56,2,1,0,0,0.4868
57,2,1,0,0,0.9096
58,2,1,0,0,0.3563
59,2,1,0,0,1.5838
60,2,1,0,0,-0.2349
61,2,1,0,0,0.8051
62,2,1,0,0,0.6999
63,2,1,0,0,1.0023
64,2,1,0,0,1.3598
65,2,1,0,0,-0.0791
66,2,1,0,0,0.5916
67,2,1,0,0,0.349
68,2,1,0,0,0.9123
69,2,1,0,0,-0.6116
70,2,1,0,0,-0.4191
71,2,1,0,0,0.4847
72,2,1,0,0,0.3444
73,2,1,0,0,0.0567
74,2,1,0,0,1.0434
75,2,1,0,0,0.8938
76,2,1,0,0,1.6065
77,2,1,0,0,0.3203
78,2,1,0,0,-0.2422
79,2,1,0,0,-0.3177
80,2,1,0,0,0.6459
81,2,1,0,0,0.1326
82,2,1,0,0,1.1398
83,2,1,0,0,0.1256
84,2,1,0,0,0.7585
85,2,1,0,0,0.0316
86,2,1,0,0,0.1288
87,2,1,0,0,-0.1705
88,2,1,0,0,1.5248
89,2,1,0,0,0.606
90,2,1,0,0,-0.8012
91,2,1,0,0,-0.1242
92,2,1,0,0,1.713
93,2,1,0,0,-0.2717
94,2,1,0,0,1.3762
95,2,1,0,0,0.2578
96,2,1,0,0,0.2205
97,2,1,0,0,-0.0961
98,2,1,0,0,0.7501
99,2,1,0,0,-0.315
100,2,0,0,0,-0.1341
101,2,0,0,0,0.0685
102,2,0,0,0,0.0796
103,2,0,0,0,0.4529
104,2,0,0,0,-0.2367
105,2,0,0,0,-0.1927
106,2,0,0,0,-0.204
107,2,0,0,0,-0.8833
108,2,0,0,0,0.335
109,2,0,0,0,0.5414
110,2,0,0,0,-0.1161
111,2,0,0,0,-0.2292
112,2,0,0,0,-0.1254
113,2,0,0,0,0.5578
114,2,0,0,0,-1.5186
115,2,0,0,0,1.7579
116,2,0,0,0,-1.09
117,2,0,0,0,-0.2363
118,2,0,0,0,-0.6137
119,2,0,0,0,0.4361
120,2,0,0,0,-0.0987
121,2,0,0,0,0.7018
122,2,0,0,0,-0.1722
123,2,0,0,0,-0.6808
124,2,0,0,0,-0.1459
125,2,0,0,0,0.4673
126,2,0,0,0,-0.0515
127,2,0,0,0,0.3359
128,2,0,0,0,-0.172
129,2,0,0,0,0.2019
130,2,0,0,0,-0.5164
131,2,0,0,0,-0.4419
132,2,0,0,0,-0.8773
133,2,0,0,0,-0.2437
134,2,0,0,0,-1.4392
135,2,0,0,0,0.3716
136,2,0,0,0,-0.8726
137,2,0,0,0,0.4254
138,2,0,0,0,0.9249
139,2,0,0,0,0.0328
140,2,0,0,0,0.5576
141,2,0,0,0,0.1149
142,2,0,0,0,-0.3702
143,2,0,0,0,0.9864
144,2,0,0,0,-0.35
145,2,0,0,0,-0.0287
146,2,0,0,0,-0.8403
147,2,0,0,0,-0.6392
148,2,0,0,0,-1.1779
149,2,0,0,0,-0.3751
150,2,0,0,0,0.2114
151,2,0,0,0,-0.3377
152,2,0,0,0,-0.1732
153,2,0,0,0,0.0061
154,2,0,0,0,0.2573
155,2,0,0,0,0.3467
156,2,0,0,0,-0.3166
157,2,0,0,0,-0.6712
158,2,0,0,0,-0.1262
159,2,0,0,0,-0.6164
160,2,0,0,0,0.5352
161,2,0,0,0,-1.4325
162,2,0,0,0,0.4537
163,2,0,0,0,0.4684
164,2,0,0,0,-0.9018
165,2,0,0,0,0.1635
166,2,0,0,0,0.0708
167,2,0,0,0,0.1625
168,2,0,0,0,0.6368
169,2,0,0,0,-1.6096
170,2,0,0,0,0.8944
171,2,0,0,0,-1.2361
