y,x,z,controls
0.1896,0.8011,1,-0.1236
-0.632,-0.5275,0,-0.1322
0.5819,0.6999,0,0.3121
-1.0869,-0.2927,1,2.4154
0.7547,0.3071,0,1.1628
-0.3557,0.1201,1,1.0154
-0.3394,-0.2692,1,-0.895
-0.6568,-0.6397,0,-0.4247
-0.5806,-0.0521,0,0.5769
0.0569,-0.3557,0,-1.867
-0.7348,0.4281,1,-0.7946
-0.347,-0.7646,0,1.1993
-0.1269,-0.1459,0,1.0534
0.1483,-0.213,0,0.281
-0.53,0.2014,1,0.7077
-0.533,-0.3331,0,2.198
-0.4935,-0.5091,0,-0.2523
-0.3114,-0.0437,0,2.1478
0.4748,0.8024,0,0.4757
-0.4171,0.3173,1,-0.1902
-0.2775,-0.0093,0,1.4337
-0.6966,-0.9398,0,-0.7731
-0.5138,0.3653,1,0.0571
0.3089,0.0198,0,-0.2174
0.1396,0.9394,1,1.584
0.026,0.4841,1,-0.3775
0.8635,2.036,1,-0.2472
0.3566,-0.0951,0,-0.0626
0.2881,0.4386,0,-1.883
0.0706,1.0995,1,1.2526
0.0723,0.9067,1,-0.0313
-0.1484,0.3424,1,-0.4125
1.2309,1.2238,0,0.8264
-0.5021,0.0052,0,-0.2257
-0.3815,0.0563,0,0.3605
0.101,1.334,0,-0.8867
-0.5419,-1.0473,0,-0.6534
-0.767,0.1564,1,0.2688
0.477,0.1802,0,-0.5877
-0.3309,0.2756,0,-1.5921
-0.0353,-1.0726,0,1.428
0.1742,1.4745,1,-1.4195
-0.2279,-0.0794,0,0.8548
-0.0342,1.3696,1,-0.1934
1.0142,0.4877,0,1.116
0.1607,-0.0365,0,0.0497
-0.9926,-0.1825,1,-0.1075
-0.4809,0.394,1,0.4734
-0.9412,-1.2698,0,0.0397
-0.5619,-0.4095,0,0.2237
0.5435,0.5371,0,-0.0908
-0.2388,-0.3072,0,0.8848
-0.5233,-1.0578,0,-0.6568
0.7232,1.2182,0,1.4132
0.1454,-0.2812,0,0.3764
0.07,0.8572,1,1.1032
-0.5188,-0.8976,0,-0.6761
0.4375,0.1129,0,2.0029
-0.2266,0.8164,1,0.6217
-0.0342,1.184,1,1.95
-0.9226,-0.4747,0,-0.332
0.2821,1.3509,1,-1.0385
0.2098,0.5103,0,-0.1221
-0.6232,-0.2679,0,0.8196
0.3877,-0.4937,0,1.275
-0.4863,1.051,1,-0.5559
-0.1351,0.4724,1,1.1073
