running_var,treated,y,near_cutoff
0.0082,0,-0.0167,0
0.5073,1,0.6255,1
0.0795,0,-0.0375,0
0.4928,0,0.0053,1
0.2958,0,0.1526,1
0.5221,1,0.5419,1
0.3939,0,0.282,1
0.415,0,0.1703,1
0.3748,0,0.184,1
0.7783,1,0.5574,1
0.3894,0,0.1418,1
0.4507,0,0.355,1
0.7616,1,0.487,1
0.6475,1,0.4354,1
0.1804,0,0.1594,0
0.7955,1,0.5143,1
0.6536,1,0.6788,1
0.5155,1,0.6436,1
0.5772,1,0.3094,1
0.5839,1,0.5231,1
0.4762,0,0.1483,1
0.1684,0,0.0914,0
0.4306,0,0.2701,1
0.1703,0,0.0183,0
0.8794,1,0.4163,0
0.9857,1,0.4764,0
0.8201,1,0.4786,0
0.813,1,0.2536,0
0.1698,0,0.0078,0
0.2876,0,0.084,1
0.3692,0,0.218,1
0.5286,1,0.3355,1
0.6356,1,0.4896,1
0.2515,0,0.0837,1
0.558,1,0.5188,1
0.7254,1,0.6071,1
0.2199,0,0.0153,1
0.9027,1,0.6608,0
0.4735,0,0.2595,1
0.8068,1,0.4514,0
0.4037,0,0.2484,1
0.4643,0,0.1701,1
0.8266,1,0.5834,0
0.2764,0,0.1518,1
0.1366,0,-0.0219,0
0.9451,1,0.4601,0
0.561,1,0.5762,1
0.336,0,0.0458,1
0.502,1,0.1594,1
0.5393,1,0.3264,1
0.7259,1,0.6152,1
0.8639,1,0.6849,0
0.318,0,0.2322,1
0.4738,0,0.0953,1
0.1021,0,-0.0096,0
0.7972,1,0.5359,1
0.3847,0,0.1865,1
0.2698,0,-0.1616,1
0.6985,1,0.352,1
0.6665,1,0.4629,1
0.0044,0,-0.0326,0
0.8198,1,0.4014,0
0.3045,0,0.1447,1
0.7669,1,0.4133,1
0.4576,0,-0.0874,1
0.2569,0,0.1963,1
0.924,1,0.5151,0
0.361,0,0.1485,1
0.9421,1,0.4014,0
0.8447,1,0.386,0
0.4044,0,-0.0876,1
0.7502,1,0.5213,1
0.707,1,0.4368,1
0.1531,0,0.1885,0
0.5133,1,0.3283,1
0.5009,1,0.2818,1
0.1986,0,-0.0628,0
0.8373,1,0.5913,0
0.3215,0,0.3743,1
0.9736,1,0.4984,0
0.3871,0,0.1885,1
0.0541,0,-0.0472,0
0.59,1,0.3786,1
0.7884,1,0.346,1
0.613,1,0.4471,1
0.0591,0,-0.0588,0
0.7994,1,0.3783,1
0.7415,1,0.6122,1
0.2015,0,0.1648,1
0.7518,1,0.6188,1
0.0496,0,0.0447,0
0.7308,1,0.3743,1
0.3694,0,0.1526,1
0.5443,1,0.4457,1
0.3386,0,-0.0011,1
0.4923,0,0.3729,1
0.7344,1,0.4701,1
0.0292,0,0.0296,0
0.9,1,0.541,0
0.4616,0,0.197,1
0.4503,0,0.1039,1
0.4175,0,0.277,1
0.9712,1,0.7155,0
0.7504,1,0.2446,1
0.8415,1,0.4755,0
0.3138,0,0.228,1
0.9212,1,0.5813,0
0.5272,1,0.2784,1
0.9496,1,0.488,0
0.1916,0,0.239,0
0.9232,1,0.3364,0
0.0896,0,0.042,0
0.4625,0,0.1273,1
0.1339,0,-0.0066,0
0.7889,1,0.4487,1
0.2291,0,0.1443,1
0.3797,0,0.1973,1
0.2498,0,0.1134,1
0.8966,1,0.5937,0
0.808,1,0.4759,0
0.5637,1,0.5853,1
0.7655,1,0.5662,1
0.2241,0,-0.0012,1
0.5844,1,0.4857,1
0.4399,0,0.2578,1
0.3881,0,0.1418,1
0.4944,0,0.0332,1
0.1695,0,-0.1675,0
0.1366,0,0.1193,0
0.6841,1,0.3252,1
0.3324,0,0.0001,1
0.0372,0,-0.0846,0
0.5935,1,0.3109,1
0.3803,0,0.0735,1
0.1943,0,0.068,0
0.8995,1,0.432,0
0.6871,1,0.3529,1
0.9665,1,0.4964,0
0.9759,1,0.5154,0
0.0358,0,0.0431,0
0.8921,1,0.544,0
0.5516,1,0.2678,1
0.3261,0,0.2006,1
0.9766,1,0.3782,0
0.9961,1,0.5784,0
0.5389,1,0.3953,1
0.3385,0,0.3033,1
0.3115,0,0.0384,1
0.5395,1,0.4173,1
0.5804,1,0.4327,1
0.4509,0,0.2071,1
0.5457,1,0.5554,1
0.3438,0,0.1351,1
0.8457,1,0.781,0
0.5557,1,0.3859,1
0.3664,0,0.254,1
0.8484,1,0.5331,0
0.7526,1,0.4926,1
0.7294,1,0.3235,1
0.0761,0,0.0933,0
0.2762,0,0.0561,1
0.4439,0,0.13,1
0.1124,0,0.0321,0
0.0284,0,0.0738,0
0.2615,0,0.2191,1
0.457,0,0.1146,1
0.3674,0,0.0709,1
0.8608,1,0.5379,0
0.7745,1,0.3563,1
0.7946,1,0.3852,1
0.1603,0,0.1109,0
0.8631,1,0.4408,0
0.9783,1,0.6389,0
0.4153,0,0.1123,1
0.5163,1,0.3631,1
0.4284,0,0.2653,1
0.2105,0,-0.016,1
0.2018,0,0.0607,1
0.3267,0,0.0221,1
0.3574,0,0.1055,1
0.097,0,0.1059,0
0.1097,0,0.0512,0
0.6224,1,0.432,1
0.6212,1,0.4206,1
0.1736,0,0.0841,0
0.246,0,0.1275,1
0.5283,1,0.4604,1
0.668,1,0.4712,1
0.9453,1,0.4635,0
0.9124,1,0.5074,0
0.3066,0,0.0389,1
0.2937,0,0.1338,1
0.3802,0,0.0826,1
0.8793,1,0.4856,0
0.2052,0,0.2345,1
0.7587,1,0.4666,1
0.2909,0,-0.1296,1
0.5218,1,0.6058,1
0.46,0,0.1378,1
0.7344,1,0.4327,1
0.6742,1,0.4142,1
0.5267,1,0.3679,1
0.5862,1,0.5734,1
0.6207,1,0.3682,1
0.8251,1,0.4293,0
0.2906,0,0.0667,1
0.4386,0,-0.0545,1
0.6303,1,0.3892,1
0.9709,1,0.6582,0
0.7679,1,0.517,1
0.7797,1,0.5486,1
0.1591,0,-0.0233,0
0.7061,1,0.2708,1
0.0973,0,0.1063,0
0.0456,0,-0.102,0
0.4443,0,-0.0493,1
0.7757,1,0.3924,1
0.7617,1,0.4009,1
0.2011,0,-0.0717,1
0.2346,0,0.0737,1
0.8393,1,0.7575,0
0.7121,1,0.4582,1
0.7102,1,0.388,1
0.1677,0,0.0576,0
0.9188,1,0.6368,0
0.8893,1,0.2597,0
0.3416,0,0.0528,1
0.6783,1,0.4838,1
0.8742,1,0.5541,0
0.7638,1,0.4228,1
0.5213,1,0.2483,1
0.162,0,0.0718,0
0.2117,0,-0.0277,1
0.2638,0,-0.2392,1
0.1764,0,0.0662,0
0.7007,1,0.4888,1
0.207,0,0.0364,1
0.1819,0,0.2558,0
0.3725,0,0.1668,1
0.0571,0,0.0329,0
0.7818,1,0.6609,1
0.7968,1,0.7095,1
0.6672,1,0.5555,1
0.0044,0,-0.0525,0
0.1662,0,0.1008,0
0.9623,1,0.6351,0
0.6059,1,0.1455,1
0.3956,0,-0.0228,1
0.6627,1,0.5157,1
0.0644,0,0.0065,0
0.6543,1,0.5085,1
0.9847,1,0.626,0
0.1663,0,-0.0574,0
0.414,0,0.0998,1
0.3247,0,0.1136,1
0.2103,0,0.1643,1
0.5185,1,0.5069,1
0.9544,1,0.342,0
0.5179,1,0.15,1
0.0214,0,-0.0617,0
0.7834,1,0.6215,1
0.7352,1,0.4034,1
0.7421,1,0.7318,1
0.9698,1,0.3848,0
0.8741,1,0.3903,0
0.4909,0,0.0659,1
0.4826,0,0.0288,1
0.0577,0,-0.0862,0
0.6444,1,0.4713,1
0.368,0,0.1136,1
0.7414,1,0.3513,1
0.5808,1,0.4327,1
0.4419,0,0.0532,1
0.5778,1,0.5101,1
0.2837,0,0.1195,1
0.408,0,0.185,1
0.3105,0,0.1001,1
0.8235,1,0.4812,0
0.1279,0,0.0606,0
0.6682,1,0.7676,1
0.1276,0,-0.0234,0
0.4415,0,0.2099,1
0.2745,0,0.1589,1
0.9211,1,0.8095,0
0.5894,1,0.5698,1
0.5743,1,0.2099,1
0.7029,1,0.4197,1
0.6262,1,0.1784,1
0.0846,0,0.0684,0
0.5956,1,0.4594,1
0.8003,1,0.4521,0
0.947,1,0.5687,0
0.1327,0,0.1266,0
0.1055,0,-0.034,0
0.847,1,0.3799,0
0.1725,0,-0.0169,0
0.0608,0,0.0761,0
0.6183,1,0.4349,1
0.3337,0,0.203,1
0.9289,1,0.3705,0
0.0208,0,0.1118,0
0.4688,0,0.2933,1
0.1002,0,0.2615,0
0.7483,1,0.51,1
0.9892,1,0.565,0
0.7439,1,0.566,1
0.2556,0,0.0721,1
0.0545,0,-0.0833,0
0.0334,0,-0.1639,0
0.6968,1,0.3701,1
0.6495,1,0.6185,1
0.6764,1,0.4902,1
0.905,1,0.3527,0
0.1196,0,0.0427,0
0.8086,1,0.5533,0
0.6713,1,0.5648,1
0.4562,0,0.0432,1
