unit_id,period,treated,post,treat_x_post,y
0,1,1,0,0,-0.3499
1,1,1,0,0,0.7503
2,1,1,0,0,0.9431
3,1,1,0,0,1.0612
4,1,1,0,0,0.7829
5,1,1,0,0,0.0317
6,1,1,0,0,0.9973
7,1,1,0,0,-0.1272
8,1,1,0,0,0.3128
9,1,1,0,0,1.1943
10,1,1,0,0,0.1712
11,1,1,0,0,0.6221
12,1,1,0,0,0.0249
13,1,1,0,0,0.2578
14,1,1,0,0,0.1493
15,1,1,0,0,0.5286
16,1,1,0,0,1.1227
17,1,1,0,0,-0.0647
18,1,1,0,0,0.7405
19,1,1,0,0,0.6945
20,1,1,0,0,1.3099
21,1,1,0,0,1.0903
22,1,1,0,0,0.3645
23,1,1,0,0,0.348
24,1,1,0,0,0.833
25,1,1,0,0,0.9032
26,1,1,0,0,0.0887
27,1,1,0,0,-0.2482
28,1,1,0,0,0.5902
29,1,1,0,0,-0.7346
30,1,1,0,0,0.274
31,1,1,0,0,1.1363
32,1,1,0,0,1.2763
33,1,1,0,0,0.983
34,1,1,0,0,0.3896
35,1,1,0,0,-0.187
36,1,1,0,0,-0.2317
37,1,1,0,0,0.3964
38,1,1,0,0,-0.0862
39,1,1,0,0,1.5593
40,1,1,0,0,1.8979
41,1,1,0,0,0.3366
42,1,1,0,0,0.5272
43,1,1,0,0,0.3875
44,1,1,0,0,-0.304
45,1,1,0,0,0.2417
46,1,1,0,0,0.5155
47,1,1,0,0,0.2664
48,1,1,0,0,0.0149
49,1,1,0,0,0.5961
50,1,1,0,0,0.9217
51,1,1,0,0,1.6337
52,1,1,0,0,0.2485
53,1,1,0,0,0.5554
54,1,1,0,0,1.1629
55,1,1,0,0,1.26
56,1,1,0,0,1.6974
57,1,1,0,0,-0.4282
58,1,1,0,0,0.4493
59,1,1,0,0,0.6355
60,1,1,0,0,-0.0913
61,1,1,0,0,0.8586
62,1,1,0,0,1.4817
63,1,1,0,0,0.3011
64,1,1,0,0,1.8353
65,1,1,0,0,1.5551
66,1,1,0,0,0.612
67,1,1,0,0,0.9712
68,1,1,0,0,0.5276
69,1,1,0,0,0.1263
70,1,1,0,0,0.0272
71,1,1,0,0,0.6981
72,1,1,0,0,0.4876
73,1,1,0,0,0.7257
74,1,1,0,0,-0.2826
75,1,1,0,0,0.3451
76,1,1,0,0,0.6919
77,1,1,0,0,1.0216
78,1,1,0,0,0.0079
79,1,1,0,0,0.5194
80,1,1,0,0,0.22
81,1,1,0,0,0.1035
82,1,1,0,0,0.9324
83,1,1,0,0,0.6857
84,1,1,0,0,-0.7153
85,1,1,0,0,0.1102
86,1,1,0,0,1.3652
87,1,1,0,0,1.2952
88,1,1,0,0,-0.1698
89,1,1,0,0,1.447
