y,x,z,controls
-0.2712,0.2625,1,0.452
0.3464,0.8995,1,-1.0999
0.6999,0.5116,0,0.8467
-0.4331,-0.0623,0,0.1562
-2.3853,-1.4952,1,-0.1289
1.4896,0.3123,0,0.2135
0.8273,1.1064,1,0.9311
1.298,1.4092,1,1.5585
1.2332,1.2487,1,-0.0536
-0.5455,0.0984,1,-0.2304
-0.0829,-0.0412,0,0.6078
-1.6756,0.2517,1,-1.34
0.3002,-0.021,1,0.8623
-0.2142,0.6571,1,-1.3548
-0.6279,0.1582,0,-1.3744
-0.7453,0.2037,1,1.5533
-0.9917,0.0606,1,-2.0827
-0.7627,0.1961,1,1.3072
0.6952,1.0705,1,1.5597
0.5708,0.7204,0,0.3396
-0.4094,0.2539,1,0.6057
1.3601,0.6457,0,-1.5741
0.4474,0.4228,1,-0.4924
0.9559,0.5951,0,0.3585
0.623,0.7857,0,0.3293
0.5085,0.7301,1,0.4444
-0.397,-0.4642,0,0.3288
-0.4697,0.6938,0,0.021
-1.0292,-0.7911,0,-1.2218
-0.0874,0.0219,0,0.352
0.0973,0.4317,1,-1.1369
1.7753,1.3045,0,-0.3648
0.7446,0.1461,0,1.3921
-0.3052,0.0246,0,-1.5644
0.3755,-0.1021,0,-0.1243
-0.0117,-0.4978,0,0.8682
-0.6522,-0.8803,0,0.6387
-1.1758,-0.3273,0,0.3056
1.0185,0.9215,1,-0.6773
-0.297,0.5151,1,1.3108
0.4825,0.0485,0,-1.224
-0.5755,-0.2737,0,0.6929
0.1937,0.3931,1,0.153
1.1087,1.1729,1,-0.7867
-1.489,-0.3859,1,-0.3891
0.1062,0.1568,0,1.8111
2.0073,2.0556,1,-1.1621
1.0291,0.8556,0,-1.7599
-0.6812,-0.6339,0,-0.638
0.4631,0.8076,1,0.413
-0.1948,-0.1058,0,1.4238
-1.0776,0.0021,1,0.0253
0.019,0.7533,1,-1.6285
-0.8504,-0.0547,1,0.0956
0.8376,0.575,0,0.8559
0.7054,0.6278,0,0.3205
1.3247,1.4696,1,0.4938
-0.1592,-0.2768,0,-1.872
-0.1448,-0.1271,1,-1.3421
-0.0704,-0.3324,0,-0.1339
0.0363,-0.0131,0,1.1335
1.0268,1.1034,1,-0.7894
1.0814,0.432,0,0.2047
0.2511,0.6296,1,0.1662
0.6693,0.2296,0,-1.0427
-1.0262,-0.9791,0,-0.7362
0.5021,0.4107,1,-0.0252
-0.3039,-0.3576,0,-0.3656
0.2898,0.0445,0,0.8206
